group,drop_iv,J_df,J_p,J_opt,b_m,theta_k_mean,theta_l_mean
G1_17_19,(none),3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G2_39_41,(none),2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G1_17_19,Z_HHI_post,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,Z_tariff,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,k_ind_yr,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,klag,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,l_ind_yr,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,lages,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,lages2q,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,llag,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,m_ind_yr,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G1_17_19,mlag,3.0,4.2860028026669994e-11,51.26960754394531,0.22300265729427338,0.2855129837989807,0.5371665954589844
G2_39_41,Z_HHI_post,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,k_ind_yr,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,klag,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,l_ind_yr,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,lages,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,lages2q,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,llag,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,m_ind_yr,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
G2_39_41,mlag,2.0,4.3261506437733063e-14,61.543025970458984,0.24430008232593536,0.2783157229423523,0.626504123210907
