spec,group,drop,source,gmm_conv,J_opt,J_df,J_p,N,b_k,b_l,b_m,b_es,b_essq,b_amc,b_as
baseline_C,G1_17_19,(none),nonhicks_points_by_group,,51.26960754394531,3,4.2860028026669994e-11,23968,-0.4436514973640442,1.951078176498413,0.22300265729427338,1.8084450960159302,-0.03894148766994476,1.8084450960159302,-0.03894148766994476
dropone,G1_17_19,Z_HHI_post,ivdrop_C_G1_17_19_drop_Z_HHI_post,,857.6981201171875,2,0.0,23968,-0.1886584460735321,0.20441031455993652,0.8706783056259155,1.8083953857421875,-0.2796454131603241,1.8083953857421875,-0.2796454131603241
dropone,G1_17_19,Z_tariff,ivdrop_C_G1_17_19_drop_Z_tariff,,815.5096435546875,2,0.0,23968,-0.3313334286212921,0.2951273024082184,0.874636173248291,1.808370590209961,-0.20680387318134308,1.808370590209961,-0.20680387318134308
dropone,G1_17_19,k_ind_yr,ivdrop_C_G1_17_19_drop_k_ind_yr,,853.4771728515625,2,0.0,23968,-0.2703951895236969,0.1089022234082222,0.8793599009513855,1.8083845376968384,-0.4039875566959381,1.8083845376968384,-0.4039875566959381
dropone,G1_17_19,klag,ivdrop_C_G1_17_19_drop_klag,,17.284997940063477,2,0.00017644539184402674,23968,0.2886107861995697,0.23463018238544464,0.1340475231409073,1.8084042072296143,0.008166645653545856,1.8084042072296143,0.008166645653545856
dropone,G1_17_19,l_ind_yr,ivdrop_C_G1_17_19_drop_l_ind_yr,,850.0685424804688,2,0.0,23968,-0.3273887634277344,0.29069218039512634,0.8778671622276306,1.8083702325820923,-0.19228433072566986,1.8083702325820923,-0.19228433072566986
dropone,G1_17_19,lages,ivdrop_C_G1_17_19_drop_lages,,706.0553588867188,2,0.0,23968,-0.30687302350997925,0.4819459021091461,0.9376638531684875,1.8085558414459229,-1.1328542232513428,1.8085558414459229,-1.1328542232513428
dropone,G1_17_19,lages2q,ivdrop_C_G1_17_19_drop_lages2q,,21.08681297302246,2,2.6366766178398393e-05,23968,0.292000412940979,0.3304109573364258,0.1891300082206726,1.8083698749542236,-0.48475220799446106,1.8083698749542236,-0.48475220799446106
dropone,G1_17_19,llag,ivdrop_C_G1_17_19_drop_llag,,173.5248260498047,2,2.0871881000221852e-38,23968,-0.09556252509355545,0.1395440250635147,0.5580052733421326,1.808394432067871,-0.003996692597866058,1.808394432067871,-0.003996692597866058
dropone,G1_17_19,m_ind_yr,ivdrop_C_G1_17_19_drop_m_ind_yr,,813.8274536132812,2,0.0,23968,0.2616395056247711,0.20715180039405823,0.917830228805542,1.8084228038787842,-1.095731496810913,1.8084228038787842,-1.095731496810913
dropone,G1_17_19,mlag,ivdrop_C_G1_17_19_drop_mlag,,9.87395191192627,2,0.007176266983151436,23968,-0.03084970824420452,0.16338573396205902,0.3575505018234253,1.808402419090271,0.29306626319885254,1.808402419090271,0.29306626319885254
baseline_C,G2_39_41,(none),nonhicks_points_by_group,,61.543025970458984,2,4.3261506437733063e-14,23289,-0.44432443380355835,1.0646393299102783,0.24430008232593536,2.622044801712036,0.8567887544631958,2.622044801712036,0.8567887544631958
dropone,G2_39_41,Z_HHI_post,ivdrop_C_G2_39_41_drop_Z_HHI_post,,638.2459716796875,1,0.0,23289,-0.2879554033279419,0.2025044560432434,0.9861221313476562,2.62198805809021,-0.10251673310995102,2.62198805809021,-0.10251673310995102
dropone,G2_39_41,k_ind_yr,ivdrop_C_G2_39_41_drop_k_ind_yr,,64.70115661621094,1,8.716383543995313e-16,23289,-0.1401119977235794,-0.12718158960342407,0.25237902998924255,2.6220459938049316,0.1904703974723816,2.6220459938049316,0.1904703974723816
dropone,G2_39_41,klag,ivdrop_C_G2_39_41_drop_klag,,95.84449768066406,1,1.2427079825595298e-22,23289,-0.06724761426448822,-0.19149285554885864,0.9371932744979858,2.621939182281494,-0.07246473431587219,2.621939182281494,-0.07246473431587219
dropone,G2_39_41,l_ind_yr,ivdrop_C_G2_39_41_drop_l_ind_yr,,61.701541900634766,1,3.996673716126107e-15,23289,0.09441601485013962,-0.3475692570209503,0.25265488028526306,2.622007131576538,-0.26885876059532166,2.622007131576538,-0.26885876059532166
dropone,G2_39_41,lages,ivdrop_C_G2_39_41_drop_lages,,148.4401092529297,1,3.801259907923861e-34,23289,-1.0501853227615356,-2.084984540939331,0.46347805857658386,2.6223461627960205,0.20481251180171967,2.6223461627960205,0.20481251180171967
dropone,G2_39_41,lages2q,ivdrop_C_G2_39_41_drop_lages2q,,65.18583679199219,1,6.815769724089935e-16,23289,-0.6052413582801819,0.16345985233783722,0.25109249353408813,2.6220650672912598,0.593356192111969,2.6220650672912598,0.593356192111969
dropone,G2_39_41,llag,ivdrop_C_G2_39_41_drop_llag,,95.55677032470703,1,1.4371050190580988e-22,23289,-0.1619730144739151,-0.029464349150657654,0.9585975408554077,2.621945858001709,-0.07823578268289566,2.621945858001709,-0.07823578268289566
dropone,G2_39_41,m_ind_yr,ivdrop_C_G2_39_41_drop_m_ind_yr,,467.7876892089844,1,0.0,23289,0.04251060262322426,-0.08441220223903656,0.9857107400894165,2.6219558715820312,0.024200599640607834,2.6219558715820312,0.024200599640607834
dropone,G2_39_41,mlag,ivdrop_C_G2_39_41_drop_mlag,,43.249576568603516,1,4.81842205024563e-11,23289,-0.13801032304763794,-0.07076351344585419,0.4625890851020813,2.622032642364502,0.09093108028173447,2.622032642364502,0.09093108028173447
