V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
NANGUAN 	Total	498427	252420	246007	18878	5201	13677	3.79	2.06	5.56
NANGUAN 	Nanling	78763	41610	37153	1203	276	927	1.53	0.66	2.5
NANGUAN 	Ziqiang	33664	16162	17502	909	146	763	2.70	0.90	4.36
NANGUAN 	Minkang	27964	13644	14320	1049	227	822	3.75	1.66	5.74
NANGUAN 	Xinchun	37792	18783	19009	1086	266	820	2.87	1.42	4.31
NANGUAN 	Changtong	36522	19984	16538	1845	623	1222	5.05	3.12	7.39
NANGUAN 	Quanan	43152	21186	21966	1589	335	1254	3.68	1.58	5.71
NANGUAN 	Shuguang	44898	21709	23189	980	141	839	2.18	0.65	3.62
NANGUAN 	Yongji	38767	19080	19687	1339	388	951	3.45	2.03	4.83
NANGUAN 	Taoyuan	25581	12592	12989	1143	280	863	4.47	2.22	6.64
NANGUAN 	Yongxing	25243	13999	11244	1043	412	631	4.13	2.94	5.61
NANGUAN 	Xinlicheng	17057	8618	8439	774	238	536	4.54	2.76	6.35
NANGUAN 	Danan	16233	8280	7953	1155	386	769	7.12	4.66	9.67
NANGUAN 	Yutan	11725	6091	5634	1244	430	814	10.61	7.06	14.45
NANGUAN 	Jingyue	21723	11222	10501	1290	419	871	5.94	3.73	8.29
NANGUAN 	Xingfu	39343	19460	19883	2229	634	1595	5.67	3.26	8.02
KUANCHENG 	Total	406637	211897	194740	14333	3936	10397	3.52	1.86	5.34
KUANCHENG 	Xinfa	29095	13964	15131	1108	235	873	3.81	1.68	5.77
KUANCHENG 	Zhanqian	55842	34330	21512	1560	533	1027	2.79	1.55	4.77
KUANCHENG 	Nanguang	21064	10621	10443	691	150	541	3.28	1.41	5.18
KUANCHENG 	Dongguang	11559	5728	5831	434	93	341	3.75	1.62	5.85
KUANCHENG 	Qunying	35713	18401	17312	1385	316	1069	3.88	1.72	6.17
KUANCHENG 	Xingye	44861	22416	22445	1599	407	1192	3.56	1.82	5.31
KUANCHENG 	Kaixuan	37159	18478	18681	1001	229	772	2.69	1.24	4.13
KUANCHENG 	Tuanshan	21503	10967	10536	1093	297	796	5.08	2.71	7.56
KUANCHENG 	Liuying	44751	22722	22029	1806	452	1354	4.04	1.99	6.15
KUANCHENG 	Xinglongshan	47812	24482	23330	1528	483	1045	3.20	1.97	4.48
KUANCHENG 	Lanjia	17959	9412	8547	783	286	497	4.36	3.04	5.81
KUANCHENG 	Fenjin	39319	20376	18943	1345	455	890	3.42	2.23	4.70
CHAOYANG 	Total	622585	316726	305859	16490	3985	12505	2.65	1.26	4.09
CHAOYANG 	Nanzhan	36809	19241	17568	1253	365	888	3.40	1.90	5.05
CHAOYANG 	Guilin	65597	31893	33704	1139	188	951	1.74	0.59	2.82
CHAOYANG 	Nanhu	68737	35599	33138	814	137	677	1.18	0.38	2.04
CHAOYANG 	Yongchang	53747	26571	27176	934	152	782	1.74	0.57	2.88
CHAOYANG 	Chongqing	39663	19978	19685	690	130	560	1.74	0.65	2.84
CHAOYANG 	Qinghe	70016	35381	34635	1432	240	1192	2.05	0.68	3.44
CHAOYANG 	Hongqi	88203	44583	43620	1854	370	1484	2.10	0.83	3.40
CHAOYANG 	Huxi	89357	47496	41861	1917	392	1525	2.15	0.83	3.64
CHAOYANG 	Datun	31701	16112	15589	2025	662	1363	6.39	4.11	8.74
CHAOYANG 	Leshan	20589	10458	10131	2101	646	1455	10.20	6.18	14.36
CHAOYANG 	Yongchun	13752	7131	6621	1282	416	866	9.32	5.83	13.08
CHAOYANG 	Shuangde	44414	22283	22131	1049	287	762	2.36	1.29	3.44
ERDAO 	Total	401901	203381	198520	20275	5885	14390	5.04	2.89	7.25
ERDAO 	Dongsheng	47468	23684	23784	2021	478	1543	4.26	2.02	6.49
ERDAO 	Jilin	34825	17201	17624	1556	374	1182	4.47	2.17	6.71
ERDAO 	Rongguang	55143	27329	27814	2156	528	1628	3.91	1.93	5.85
ERDAO 	Dongzhan	37393	18694	18699	1265	245	1020	3.38	1.31	5.45
ERDAO 	Yuanda	22226	11417	10809	1301	352	949	5.85	3.08	8.78
ERDAO 	Balibao	30785	15435	15350	1926	544	1382	6.26	3.52	9
ERDAO 	Sandao	14610	7547	7063	1105	367	738	7.56	4.86	10.45
ERDAO 	Quannongshan	13709	7124	6585	1564	534	1030	11.41	7.5	15.64
ERDAO 	Quanyan	12914	6710	6204	1415	505	910	10.96	7.53	14.67
ERDAO 	Yingjun	45076	23139	21937	2096	725	1371	4.65	3.13	6.25
ERDAO 	Sijia	9081	4699	4382	771	246	525	8.49	5.24	11.98
ERDAO 	Jingjijishukaifaqu	78671	40402	38269	3099	987	2112	3.94	2.44	5.52
LVYUAN 	Total	523841	263789	260052	18063	4740	13323	3.45	1.80	5.12
LVYUAN 	Zhengyang	69493	34569	34924	1797	363	1434	2.59	1.05	4.11
LVYUAN 	Puyang	66971	34511	32460	1806	443	1363	2.70	1.28	4.20
LVYUAN 	Jincheng	144669	72141	72528	3651	667	2984	2.52	0.92	4.11
LVYUAN 	Chuncheng	36951	17718	19233	982	245	737	2.66	1.38	3.83
LVYUAN 	Tiexi	52271	25876	26395	1587	369	1218	3.04	1.43	4.61
LVYUAN 	Qingnianlu	35382	17676	17706	835	173	662	2.36	0.98	3.74
LVYUAN 	Hexin	17388	9033	8355	1507	539	968	8.67	5.97	11.59
LVYUAN 	Xixin	43635	22838	20797	2229	729	1500	5.11	3.19	7.21
LVYUAN 	Chengxi	57081	29427	27654	3669	1212	2457	6.43	4.12	8.88
SHUANGYANG 	Total	289190	148415	140775	18204	5834	12370	6.29	3.93	8.79
SHUANGYANG 	Yunshan	38323	19384	18939	610	160	450	1.59	0.83	2.38
SHUANGYANG 	Pinghu	46574	23313	23261	2691	745	1946	5.78	3.20	8.37
SHUANGYANG 	Sheling	22564	11600	10964	2030	647	1383	9	5.58	12.61
SHUANGYANG 	Shanhe	25977	13620	12357	1971	643	1328	7.59	4.72	10.75
SHUANGYANG 	Xinan	17420	8849	8571	1322	441	881	7.59	4.98	10.28
SHUANGYANG 	Luxiang	17422	8932	8490	1780	578	1202	10.22	6.47	14.16
SHUANGYANG 	Taiping	20155	10386	9769	655	234	421	3.25	2.25	4.31
SHUANGYANG 	Tuding	16102	8509	7593	72	30	42	0.45	0.35	0.55
SHUANGYANG 	Qijia	20198	10376	9822	796	281	515	3.94	2.71	5.24
SHUANGYANG 	Shixi	20342	10672	9670	1950	706	1244	9.59	6.62	12.86
SHUANGYANG 	Tongjia	14895	7677	7218	1623	509	1114	10.90	6.63	15.43
SHUANGYANG 	Changling	18585	9603	8982	1773	544	1229	9.54	5.66	13.68
SHUANGYANG 	Shuangyingzi	10633	5494	5139	931	316	615	8.76	5.75	11.97
NONGAN 	Total	830133	423613	406520	64369	20927	43442	7.75	4.94	10.69
NONGAN 	Nongan	162317	81666	80651	9178	2789	6389	5.65	3.42	7.92
NONGAN 	Fulongquan	28873	14472	14401	2781	828	1953	9.63	5.72	13.56
NONGAN 	Halahai	34913	17758	17155	2545	864	1681	7.29	4.87	9.80
NONGAN 	Kaoshan	22772	11556	11216	434	134	300	1.91	1.16	2.67
NONGAN 	Helong	47859	24471	23388	2491	814	1677	5.20	3.33	7.17
NONGAN 	Kaian	45582	23421	22161	3972	1365	2607	8.71	5.83	11.76
NONGAN 	Shaoguo	21940	11312	10628	1288	486	802	5.87	4.30	7.55
NONGAN 	Gaojiadian	23536	11957	11579	1663	557	1106	7.07	4.66	9.55
NONGAN 	Baojia	17678	9065	8613	1431	453	978	8.09	5	11.35
NONGAN 	Huajia	32161	16629	15532	2342	815	1527	7.28	4.90	9.83
NONGAN 	Chaigang	20644	10580	10064	2273	750	1523	11.01	7.09	15.13
NONGAN 	Sanshengyu	29285	14992	14293	2751	855	1896	9.39	5.70	13.27
NONGAN 	Bajilei	40634	20977	19657	4846	1516	3330	11.93	7.23	16.94
NONGAN 	Binhe	23757	12229	11528	1362	498	864	5.73	4.07	7.49
NONGAN 	Qiangang	17460	8995	8465	1557	515	1042	8.92	5.73	12.31
