V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
TONGSHEN 	Total	99947	52685	47262	62369	33004	29365	37578	19681	17897	37.60	37.36	37.87
TONGSHEN 	Chongshan	10945	5727	5218	10226	5353	4873	719	374	345	6.57	6.53	6.61
TONGSHEN 	Nansheng	8150	4320	3830	7054	3767	3287	1096	553	543	13.45	12.80	14.18
TONGSHEN 	Maoyang	13882	7372	6510	12403	6482	5921	1479	890	589	10.65	12.07	9.05
TONGSHEN 	Fanyang	7824	4198	3626	7340	3891	3449	484	307	177	6.19	7.31	4.88
TONGSHEN 	Changhao	4094	2200	1894	3665	1948	1717	429	252	177	10.48	11.45	9.35
TONGSHEN 	Maodao	4870	2728	2142	4631	2562	2069	239	166	73	4.91	6.09	3.41
TONGSHEN 	Hongshan	2123	1166	957	1870	1008	862	253	158	95	11.92	13.55	9.93
TONGSHEN 	Wuzhishan	3624	1911	1713	3129	1575	1554	495	336	159	13.66	17.58	9.28
TONGSHEN 	Baoguo	994	533	461	932	494	438	62	39	23	6.24	7.32	4.99
TONGSHEN 	Shizhishu	36007	18682	17325	6850	3613	3237	29157	15069	14088	80.98	80.66	81.32
TONGSHEN 	Changhaonongchang	7434	3848	3586	4269	2311	1958	3165	1537	1628	42.57	39.94	45.40
QIONGHAI 	Total	446323	234798	211525	333622	171357	162265	112701	63441	49260	25.25	27.02	23.29
QIONGHAI 	Jiaji	81493	42244	39249	28898	14408	14490	52595	27836	24759	64.54	65.89	63.08
QIONGHAI 	Wanquan	21586	11536	10050	19568	10247	9321	2018	1289	729	9.35	11.17	7.25
QIONGHAI 	Shibi	14759	7940	6819	13547	7136	6411	1212	804	408	8.21	10.13	5.98
QIONGHAI 	Wenquan	21126	11047	10079	18176	9266	8910	2950	1781	1169	13.96	16.12	11.60
QIONGHAI 	Zhongyuan	19000	9948	9052	15513	7880	7633	3487	2068	1419	18.35	20.79	15.68
QIONGHAI 	Boao	10206	5225	4981	9272	4614	4658	934	611	323	9.15	11.69	6.48
QIONGHAI 	Yangjiang	15694	8394	7300	14443	7526	6917	1251	868	383	7.97	10.34	5.25
QIONGHAI 	Longjiang	19245	10352	8893	18133	9567	8566	1112	785	327	5.78	7.58	3.68
QIONGHAI 	Futian	12659	6633	6026	11796	6042	5754	863	591	272	6.82	8.91	4.51
QIONGHAI 	Tanmen	15206	7938	7268	13204	6756	6448	2002	1182	820	13.17	14.89	11.28
