V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
GANDE 	Total	16979	8637	8342	9736	2728	7008	57.34	31.59	84.01
GANDE 	Shanggongma	1583	794	789	1070	328	742	67.59	41.31	94.04
GANDE 	Xiagongma	2031	1109	922	1048	260	788	51.60	23.44	85.47
GANDE 	Dongji	1584	811	773	823	207	616	51.96	25.52	79.69
GANDE 	Kequ	1391	663	728	947	284	663	68.08	42.84	91.07
GANDE 	Ganglong	2058	1036	1022	1242	317	925	60.35	30.60	90.51
GANDE 	Qingzhen	2617	1289	1328	1460	338	1122	55.79	26.22	84.49
GANDE 	Jiangqian	1771	842	929	1156	344	812	65.27	40.86	87.41
GANDE 	Xiacangke	2348	1207	1141	1622	552	1070	69.08	45.73	93.78
GANDE 	Wuqin	1596	886	710	368	98	270	23.06	11.06	38.03
DARI 	Total	17101	8873	8228	11201	4296	6905	65.5	48.42	83.92
DARI 	Jimai	1539	707	832	1052	328	724	68.36	46.39	87.02
DARI 	Shanghongke	1767	860	907	1340	494	846	75.83	57.44	93.27
DARI 	Xiahongke	1576	817	759	1291	569	722	81.92	69.65	95.13
DARI 	Sangrima	1440	710	730	1186	488	698	82.36	68.73	95.62
DARI 	Tehetu	1101	565	536	873	396	477	79.29	70.09	88.99
DARI 	Jianshe	1903	1109	794	1188	446	742	62.43	40.22	93.45
DARI 	Manzhang	1669	881	788	1321	604	717	79.15	68.56	90.99
DARI 	Wosai	1162	560	602	783	236	547	67.38	42.14	90.86
DARI 	Deang	1486	782	704	948	361	587	63.80	46.16	83.38
DARI 	Moba	1029	495	534	567	160	407	55.10	32.32	76.22
DARI 	Jimai	2429	1387	1042	652	214	438	26.84	15.43	42.03
JIUZHI 	Total	13671	7047	6624	8614	3009	5605	63.01	42.70	84.62
JIUZHI 	Kangsai	2065	1005	1060	1375	461	914	66.59	45.87	86.23
JIUZHI 	Mentang	1228	617	611	748	199	549	60.91	32.25	89.85
JIUZHI 	Wasai	1755	906	849	1169	381	788	66.61	42.05	92.82
JIUZHI 	Suohurima	2298	1193	1105	1579	561	1018	68.71	47.02	92.13
JIUZHI 	Baiyu	2860	1502	1358	1878	624	1254	65.66	41.54	92.34
JIUZHI 	Waeryi	1930	980	950	1548	684	864	80.21	69.80	90.95
JIUZHI 	Zhiqingsongduo	1535	844	691	317	99	218	20.65	11.73	31.55
MADUO 	Total	7280	3906	3374	2578	777	1801	35.41	19.89	53.38
MADUO 	Huanghe	1254	675	579	685	230	455	54.63	34.07	78.58
MADUO 	Heihe	1049	530	519	554	176	378	52.81	33.21	72.83
MADUO 	Zhalinghu	962	479	483	220	45	175	22.87	9.39	36.23
MADUO 	Huashixia	1262	694	568	362	106	256	28.68	15.27	45.07
MADUO 	Heihai	700	371	329	254	67	187	36.29	18.06	56.84
MADUO 	Qingshui	510	267	243	220	74	146	43.14	27.72	60.08
MADUO 	Machali	1543	890	653	283	79	204	18.34	8.88	31.24
YUSHU 	Total	54024	26708	27316	34052	13032	21020	63.03	48.79	76.95
YUSHU 	Jiegu	21948	11010	10938	9501	3237	6264	43.29	29.40	57.27
YUSHU 	Zhongda	2707	1296	1411	1232	333	899	45.51	25.69	63.71
YUSHU 	Batang	3970	1923	2047	2987	1127	1860	75.24	58.61	90.86
YUSHU 	Xiaosumang	5156	2485	2671	4446	1937	2509	86.23	77.95	93.93
YUSHU 	Shanglaxiu	4293	2053	2240	3330	1299	2031	77.57	63.27	90.67
YUSHU 	Xialaxiu	7215	3644	3571	5638	2414	3224	78.14	66.25	90.28
YUSHU 	Jielong	3588	1738	1850	3164	1358	1806	88.18	78.14	97.62
YUSHU 	Haxiu	2418	1200	1218	1633	498	1135	67.54	41.5	93.19
YUSHU 	Anchong	2729	1359	1370	2121	829	1292	77.72	61	94.31
ZADUO 	Total	24060	12075	11985	15367	5492	9875	63.87	45.48	82.39
ZADUO 	Jiezha	2759	1402	1357	1725	641	1084	62.52	45.72	79.88
ZADUO 	Angsai	2083	1040	1043	1200	362	838	57.61	34.81	80.35
ZADUO 	Jieduo	2720	1371	1349	1716	632	1084	63.09	46.10	80.36
ZADUO 	Aduo	2355	1127	1228	1492	433	1059	63.35	38.42	86.24
ZADUO 	Sulu	2442	1212	1230	1796	713	1083	73.55	58.83	88.05
ZADUO 	Danrong	2068	1015	1053	1464	506	958	70.79	49.85	90.98
ZADUO 	Zhaqing	2779	1379	1400	1992	785	1207	71.68	56.93	86.21
ZADUO 	Moyun	1792	905	887	1142	436	706	63.73	48.18	79.59
ZADUO 	Sahuteng	5062	2624	2438	2840	984	1856	56.10	37.5	76.13
CHENGDUO 	Total	27959	13815	14144	19997	7796	12201	71.52	56.43	86.26
CHENGDUO 	Zhaduo	4072	1998	2074	3558	1555	2003	87.38	77.83	96.58
CHENGDUO 	Qingshuihe	4031	1974	2057	3333	1436	1897	82.68	72.75	92.22
CHENGDUO 	Zhenqin	5132	2654	2478	4147	1769	2378	80.81	66.65	95.96
CHENGDUO 	Gaduo	3479	1767	1712	2679	1049	1630	77	59.37	95.21
CHENGDUO 	Saihe	776	390	386	526	194	332	67.78	49.74	86.01
CHENGDUO 	Xiewu	3078	1411	1667	1932	628	1304	62.77	44.51	78.22
CHENGDUO 	Labu	2269	1051	1218	1357	380	977	59.81	36.16	80.21
CHENGDUO 	Chengwen	2453	1231	1222	1533	522	1011	62.49	42.40	82.73
CHENGDUO 	Zhoujun	2669	1339	1330	932	263	669	34.92	19.64	50.30
ZHIDUO 	Total	15737	7824	7913	10504	3773	6731	66.75	48.22	85.06
ZHIDUO 	Suojia	2339	1104	1235	1738	611	1127	74.31	55.34	91.26
ZHIDUO 	Zhahe	2905	1448	1457	2441	1031	1410	84.03	71.20	96.77
