V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
NANMING 	Total	566290	301015	265275	30187	7043	23144	5.33	2.34	8.72
NANMING 	Xinhualu	20352	10244	10108	762	182	580	3.74	1.78	5.74
NANMING 	Xihulu	52401	26468	25933	1590	312	1278	3.03	1.18	4.93
NANMING 	Dananmen	12881	6271	6610	609	106	503	4.73	1.69	7.61
NANMING 	Zhonghuananlu	4889	2791	2098	160	43	117	3.27	1.54	5.58
NANMING 	Shifulu	9220	4945	4275	349	92	257	3.79	1.86	6.01
NANMING 	Hebin	29050	14950	14100	792	149	643	2.73	1	4.56
NANMING 	Zunyilu	49267	26465	22802	1963	418	1545	3.98	1.58	6.78
NANMING 	Xingguanlu	48707	24148	24559	1777	365	1412	3.65	1.51	5.75
NANMING 	Shachonglu	41891	22226	19665	2183	485	1698	5.21	2.18	8.63
NANMING 	Taiciqiao	44154	26308	17846	2054	664	1390	4.65	2.52	7.79
NANMING 	Huaguoyuan	36818	18834	17984	1955	396	1559	5.31	2.10	8.67
NANMING 	Youzhajie	49256	25677	23579	2116	412	1704	4.30	1.60	7.23
NANMING 	Zhongcaosi	26732	14238	12494	1769	381	1388	6.62	2.68	11.11
NANMING 	Ergezhai	41124	22439	18685	2411	507	1904	5.86	2.26	10.19
NANMING 	Longdongbao	14566	8335	6231	449	113	336	3.08	1.36	5.39
NANMING 	Houchao	54744	30428	24316	6660	1797	4863	12.17	5.91	20
NANMING 	Yunguan	30238	16248	13990	2588	621	1967	8.56	3.82	14.06
YUNYAN 	Total	578067	293665	284402	28511	6762	21749	4.93	2.30	7.65
YUNYAN 	Zhonghuabeilu	7977	4199	3778	254	51	203	3.18	1.21	5.37
YUNYAN 	Zhonghuazhonglu	13506	6322	7184	370	58	312	2.74	0.92	4.34
YUNYAN 	Zhongshandonglu	42569	20757	21812	1851	324	1527	4.35	1.56	7
YUNYAN 	Zhongshanxilu	13120	6490	6630	510	103	407	3.89	1.59	6.14
YUNYAN 	Beijinglu	36784	18320	18464	990	147	843	2.69	0.80	4.57
YUNYAN 	Yananzhonglu	18881	9293	9588	729	165	564	3.86	1.78	5.88
YUNYAN 	Shixilu	30439	14882	15557	1167	231	936	3.83	1.55	6.02
YUNYAN 	Putuolu	23394	11528	11866	851	147	704	3.64	1.28	5.93
YUNYAN 	Huanchengbeilu	18496	9198	9298	592	111	481	3.20	1.21	5.17
YUNYAN 	Guiwulu	55111	27458	27653	2029	408	1621	3.68	1.49	5.86
YUNYAN 	Qianlingdonglu	38152	19031	19121	979	214	765	2.57	1.12	4
YUNYAN 	Weiqinglu	20135	10031	10104	826	130	696	4.10	1.30	6.89
YUNYAN 	Touqiao	58598	30236	28362	3172	720	2452	5.41	2.38	8.65
YUNYAN 	Sanqiao	54464	28367	26097	3018	703	2315	5.54	2.48	8.87
YUNYAN 	Zhaiji	40979	21289	19690	1148	219	929	2.80	1.03	4.72
YUNYAN 	Qianling	105462	56264	49198	10025	3031	6994	9.51	5.39	14.22
HUAXI 	Total	257684	137139	120545	32257	9177	23080	12.52	6.69	19.15
HUAXI 	Huaxi	54235	30178	24057	2001	496	1505	3.69	1.64	6.26
HUAXI 	Qingyan	21248	11004	10244	4151	1182	2969	19.54	10.74	28.98
HUAXI 	Shiban	15466	8015	7451	1970	577	1393	12.74	7.20	18.70
HUAXI 	Huaxibuyizumiaozu	46891	25179	21712	3576	909	2667	7.63	3.61	12.28
HUAXI 	Mengguanmiaozubuyizu	15455	8206	7249	1580	460	1120	10.22	5.61	15.45
HUAXI 	Xiaobibuyizumiaozu	12656	6592	6064	1809	514	1295	14.29	7.80	21.36
HUAXI 	Dangwu	13066	6956	6110	3055	886	2169	23.38	12.74	35.5
HUAXI 	Huchaomiaozubuyizu	21345	10512	10833	3186	829	2357	14.93	7.89	21.76
HUAXI 	Jiuan	9064	4855	4209	2175	766	1409	24	15.78	33.48
HUAXI 	Maiping	13442	7196	6246	2300	770	1530	17.11	10.70	24.5
HUAXI 	Gaopomiaozu	12650	6485	6165	1955	467	1488	15.45	7.20	24.14
HUAXI 	Qiantaobuyizumiaozu	6987	3704	3283	1336	322	1014	19.12	8.69	30.89
HUAXI 	Malingbuyizumiaozu	5963	3289	2674	1257	408	849	21.08	12.40	31.75
HUAXI 	Yanlou	9216	4968	4248	1906	591	1315	20.68	11.90	30.96
WUDANG 	Total	246537	134960	111577	26720	8245	18475	10.84	6.11	16.56
WUDANG 	Xintianzhai	49619	26407	23212	2890	797	2093	5.82	3.02	9.02
WUDANG 	Dongfeng	21542	12403	9139	2658	905	1753	12.34	7.30	19.18
WUDANG 	Shuitian	9974	5372	4602	1251	389	862	12.54	7.24	18.73
WUDANG 	Yangchang	8315	4395	3920	1175	302	873	14.13	6.87	22.27
WUDANG 	Jinhua	29714	15970	13744	3734	1164	2570	12.57	7.29	18.70
WUDANG 	Zhuchang	16270	8349	7921	2898	911	1987	17.81	10.91	25.09
WUDANG 	Yeya	67104	38474	28630	6379	2109	4270	9.51	5.48	14.91
WUDANG 	Yongle	9002	4745	4257	1047	339	708	11.63	7.14	16.63
WUDANG 	Xiaba	9758	5344	4414	2072	584	1488	21.23	10.93	33.71
WUDANG 	Xinbaobuyizu	3609	1938	1671	560	140	420	15.52	7.22	25.13
WUDANG 	Xinchang	12436	6619	5817	615	154	461	4.95	2.33	7.93
WUDANG 	Baiyi	7726	4144	3582	1242	402	840	16.08	9.70	23.45
WUDANG 	Pianpobuyizu	1468	800	668	199	49	150	13.56	6.12	22.46
BAIYUN 	Total	146214	78182	68032	10738	2808	7930	7.34	3.59	11.66
BAIYUN 	Dashandong	19997	10620	9377	922	169	753	4.61	1.59	8.03
BAIYUN 	Gongjiazhai	34344	18326	16018	1457	268	1189	4.24	1.46	7.42
BAIYUN 	Yanshanhong	15953	8131	7822	792	122	670	4.96	1.5	8.57
BAIYUN 	Dulaying	6618	3503	3115	160	26	134	2.42	0.74	4.30
BAIYUN 	Yanshanhong	26374	14073	12301	2345	654	1691	8.89	4.65	13.75
BAIYUN 	Maijia	10658	5797	4861	1322	419	903	12.40	7.23	18.58
BAIYUN 	Dulabuyizu	6698	3642	3056	794	209	585	11.85	5.74	19.14
BAIYUN 	Shawen	17639	9865	7774	2014	687	1327	11.42	6.96	17.07
BAIYUN 	Niuchangbuyizu	7933	4225	3708	932	254	678	11.75	6.01	18.28
XIAOHE 	Total	114874	61249	53625	6881	1752	5129	5.99	2.86	9.56
XIAOHE 	Xiaohe	104349	55579	48770	5786	1466	4320	5.54	2.64	8.86
XIAOHE 	Jinzhu	10525	5670	4855	1095	286	809	10.40	5.04	16.66
KAIYANG 	Total	275109	145389	129720	36006	9061	26945	13.09	6.23	20.77
KAIYANG 	Chengguan	44262	23176	21086	3185	715	2470	7.20	3.09	11.71
KAIYANG 	Shuangliu	23745	12693	11052	2868	702	2166	12.08	5.53	19.60
KAIYANG 	Jinzhong	26279	13970	12309	2158	492	1666	8.21	3.52	13.53
KAIYANG 	Fengsan	23179	12135	11044	3534	788	2746	15.25	6.49	24.86
KAIYANG 	Machang	25609	13138	12471	3066	836	2230	11.97	6.36	17.88
KAIYANG 	Longgang	23445	12485	10960	3558	905	2653	15.18	7.25	24.21
KAIYANG 	Nanlong	11873	6328	5545	1731	490	1241	14.58	7.74	22.38
KAIYANG 	Yongwen	10901	5847	5054	1698	436	1262	15.58	7.46	24.97
KAIYANG 	Zhaiji	11526	6084	5442	1757	336	1421	15.24	5.52	26.11
