V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
NANGUAN 	Total	46094	23059	23035	22970	13174	9796	3337	1767	1570	12.68	11.83	13.81
NANGUAN 	Nanling	7683	4088	3595	2752	1562	1190	404	218	186	12.80	12.25	13.52
NANGUAN 	Ziqiang	3357	1635	1722	1785	960	825	232	112	120	11.5	10.45	12.70
NANGUAN 	Minkang	2710	1317	1393	1424	768	656	217	116	101	13.22	13.12	13.34
NANGUAN 	Xinchun	2715	1297	1418	1398	762	636	355	178	177	20.25	18.94	21.77
NANGUAN 	Changtong	3000	1468	1532	1303	772	531	380	212	168	22.58	21.54	24.03
NANGUAN 	Quanan	3930	1902	2028	1959	1061	898	422	226	196	17.72	17.56	17.92
NANGUAN 	Shuguang	4248	2057	2191	2106	1137	969	187	85	102	8.16	6.96	9.52
NANGUAN 	Yongji	3592	1741	1851	1675	945	730	313	153	160	15.74	13.93	17.98
NANGUAN 	Taoyuan	2521	1206	1315	1041	594	447	178	95	83	14.60	13.79	15.66
NANGUAN 	Yongxing	2360	1216	1144	848	533	315	156	78	78	15.54	12.77	19.85
NANGUAN 	Xinlicheng	1700	862	838	1145	686	459	72	49	23	5.92	6.67	4.77
NANGUAN 	Danan	1612	820	792	1331	714	617	19	12	7	1.41	1.65	1.12
NANGUAN 	Yutan	1050	540	510	820	465	355	14	9	5	1.68	1.90	1.39
NANGUAN 	Jingyue	2136	1106	1030	1390	897	493	128	65	63	8.43	6.76	11.33
NANGUAN 	Xingfu	3480	1804	1676	1993	1318	675	260	159	101	11.54	10.77	13.02
KUANCHENG 	Total	36999	18462	18537	20083	11913	8170	2896	1511	1385	12.60	11.26	14.5
KUANCHENG 	Xinfa	2251	1078	1173	1154	624	530	288	167	121	19.97	21.11	18.59
KUANCHENG 	Zhanqian	3976	1936	2040	2250	1217	1033	255	113	142	10.18	8.5	12.09
KUANCHENG 	Nanguang	1859	908	951	981	542	439	192	86	106	16.37	13.69	19.45
