V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
XINGNING 	Total	113354	58380	54974	2408	271	2137	2.12	0.46	3.89
XINGNING 	Minsheng	44612	22779	21833	1100	121	979	2.47	0.53	4.48
XINGNING 	Chaoyang	68742	35601	33141	1308	150	1158	1.90	0.42	3.49
NANNING XINCHENG 	Total	372158	189909	182249	5787	754	5033	1.55	0.40	2.76
NANNING XINCHENG 	Xinzhu	119162	57704	61458	1490	126	1364	1.25	0.22	2.22
NANNING XINCHENG 	Jianzheng	120314	61832	58482	1879	257	1622	1.56	0.42	2.77
NANNING XINCHENG 	Zhongshan	109000	56429	52571	2088	328	1760	1.92	0.58	3.35
NANNING XINCHENG 	Nanhu	23682	13944	9738	330	43	287	1.39	0.31	2.95
NANNING CHENGBEI 	Total	347622	181202	166420	4974	516	4458	1.43	0.28	2.68
NANNING CHENGBEI 	Beihu	134313	67909	66404	1987	205	1782	1.48	0.30	2.68
NANNING CHENGBEI 	Hengyang	67440	34243	33197	1648	156	1492	2.44	0.46	4.49
NANNING CHENGBEI 	Xixiangtang	145869	79050	66819	1339	155	1184	0.92	0.20	1.77
NANNING JIANGNAN 	Total	162152	84525	77627	3680	415	3265	2.27	0.49	4.21
NANNING JIANGNAN 	Fujianyuan	71277	36170	35107	1668	176	1492	2.34	0.49	4.25
NANNING JIANGNAN 	Jiangnan	90875	48355	42520	2012	239	1773	2.21	0.49	4.17
NANNING YONGXIN 	Total	117323	58295	59028	4228	563	3665	3.60	0.97	6.21
NANNING YONGXIN 	Huaqiang	21339	10388	10951	797	90	707	3.73	0.87	6.46
NANNING YONGXIN 	Xinyang	95984	47907	48077	3431	473	2958	3.57	0.99	6.15
NANNING SHIJIAO 	Total	373820	197588	176232	12754	1518	11236	3.41	0.77	6.38
NANNING SHIJIAO 	Nalong	23933	12413	11520	456	54	402	1.91	0.44	3.49
NANNING SHIJIAO 	Jinling	21265	11021	10244	413	63	350	1.94	0.57	3.42
NANNING SHIJIAO 	Tanluo	42330	21996	20334	1954	250	1704	4.62	1.14	8.38
NANNING SHIJIAO 	Jiangxi	39539	20516	19023	1030	104	926	2.61	0.51	4.87
NANNING SHIJIAO 	Xinxu	17360	9067	8293	675	67	608	3.89	0.74	7.33
NANNING SHIJIAO 	Shajing	20914	11295	9619	1097	89	1008	5.25	0.79	10.48
NANNING SHIJIAO 	Santang	23599	12685	10914	750	95	655	3.18	0.75	6
NANNING SHIJIAO 	Nahong	21679	11876	9803	976	102	874	4.5	0.86	8.92
NANNING SHIJIAO 	Anji	44193	24119	20074	1666	254	1412	3.77	1.05	7.03
NANNING SHIJIAO 	Shibu	14365	7474	6891	999	67	932	6.95	0.90	13.52
NANNING SHIJIAO 	Shangyao	56640	30259	26381	1408	228	1180	2.49	0.75	4.47
NANNING SHIJIAO 	Shuangding	19300	9868	9432	363	49	314	1.88	0.5	3.33
NANNING SHIJIAO 	Fushu	11964	6265	5699	152	22	130	1.27	0.35	2.28
NANNING SHIJIAO 	Jintou	7005	3744	3261	358	31	327	5.11	0.83	10.03
NANNING SHIJIAO 	Tingzi	9734	4990	4744	457	43	414	4.69	0.86	8.73
YONGNING 	Total	641009	344354	296655	25129	3406	21723	3.92	0.99	7.32
YONGNING 	Pumiao	85646	44044	41602	3809	385	3424	4.45	0.87	8.23
YONGNING 	Liangqing	31213	16554	14659	1486	233	1253	4.76	1.41	8.55
YONGNING 	Nama	17276	9192	8084	723	98	625	4.18	1.07	7.73
YONGNING 	Nalou	37451	19628	17823	1206	164	1042	3.22	0.84	5.85
YONGNING 	Liuxu	33586	17428	16158	1334	120	1214	3.97	0.69	7.51
YONGNING 	Nanyang	19183	9947	9236	1093	82	1011	5.70	0.82	10.95
YONGNING 	Lingli	20287	10944	9343	1155	152	1003	5.69	1.39	10.74
YONGNING 	Wutang	42778	23053	19725	1349	164	1185	3.15	0.71	6.01
YONGNING 	Sitang	22408	12102	10306	500	45	455	2.23	0.37	4.41
YONGNING 	Kunlun	14342	7797	6545	564	69	495	3.93	0.88	7.56
YONGNING 	Wuxu	51322	28035	23287	1454	230	1224	2.83	0.82	5.26
YONGNING 	Suxu	42811	22527	20284	2207	349	1858	5.16	1.55	9.16
YONGNING 	Nachen	21775	12026	9749	579	69	510	2.66	0.57	5.23
YONGNING 	Datang	30777	16881	13896	1113	176	937	3.62	1.04	6.74
YONGNING 	Nanxiao	26045	14284	11761	408	73	335	1.57	0.51	2.85
YONGNING 	Xinjiang	16629	8785	7844	955	143	812	5.74	1.63	10.35
YONGNING 	Baiji	25939	14098	11841	968	193	775	3.73	1.37	6.55
YONGNING 	Zhenlong	11089	6045	5044	832	148	684	7.5	2.45	13.56
YONGNING 	Zhonghe	18501	9901	8600	1015	114	901	5.49	1.15	10.48
YONGNING 	Changtang	23340	12762	10578	877	126	751	3.76	0.99	7.10
YONGNING 	Yanan	17371	9410	7961	900	156	744	5.18	1.66	9.35
YONGNING 	Dashatian.yanhaikaifaqu	31240	18911	12329	602	117	485	1.93	0.62	3.93
WUMING 	Total	460833	239733	221100	21717	2610	19107	4.71	1.09	8.64
WUMING 	Chengxiang	42419	20992	21427	907	92	815	2.14	0.44	3.80
WUMING 	Chengdong	40696	21182	19514	1406	125	1281	3.45	0.59	6.56
WUMING 	Taiping	22004	11492	10512	991	109	882	4.5	0.95	8.39
WUMING 	Shuangqiao	39506	20694	18812	1814	154	1660	4.59	0.74	8.82
WUMING 	Ningwu	25974	13632	12342	852	102	750	3.28	0.75	6.08
WUMING 	Luoxu	31340	16439	14901	1404	210	1194	4.48	1.28	8.01
WUMING 	Xianhu	25466	13320	12146	1525	217	1308	5.99	1.63	10.77
WUMING 	Fucheng	37801	19910	17891	1296	170	1126	3.43	0.85	6.29
WUMING 	Luwo	41306	21715	19591	3052	345	2707	7.39	1.59	13.82
WUMING 	Liangjiang	28121	14588	13533	1294	137	1157	4.60	0.94	8.55
WUMING 	Luobo	24401	12830	11571	1661	224	1437	6.81	1.75	12.42
WUMING 	Shangjiang	4633	2562	2071	26	11	15	0.56	0.43	0.72
WUMING 	Ganxu	15028	7656	7372	150	18	132	1	0.24	1.79
WUMING 	Yuquan	10383	5586	4797	533	117	416	5.13	2.09	8.67
WUMING 	Lingma	22909	11771	11138	1671	259	1412	7.29	2.20	12.68
WUMING 	Matou	17011	8891	8120	713	63	650	4.19	0.71	8
WUMING 	Huaqiaotouziqu	27616	14217	13399	2095	226	1869	7.59	1.59	13.95
WUMING 	Dongfengnongchang	4219	2256	1963	327	31	296	7.75	1.37	15.08
LIUZHOU CHENGZHONG 	Total	64959	33276	31683	1660	306	1354	2.56	0.92	4.27
LIUZHOU CHENGZHONG 	Chengzhong	6763	3201	3562	145	21	124	2.14	0.66	3.48
LIUZHOU CHENGZHONG 	Gongyuan	35939	19292	16647	694	165	529	1.93	0.86	3.18
LIUZHOU CHENGZHONG 	Zhongnan	21895	10586	11309	712	93	619	3.25	0.88	5.47
LIUZHOU CHENGZHONG 	Shuishang	362	197	165	109	27	82	30.11	13.71	49.70
YUFENG 	Total	231677	116642	115035	6008	893	5115	2.59	0.77	4.45
YUFENG 	Tianma	28335	14346	13989	769	95	674	2.71	0.66	4.82
YUFENG 	Jiahe	24940	12346	12594	625	68	557	2.51	0.55	4.42
YUFENG 	Jianpan	60888	29591	31297	1370	225	1145	2.25	0.76	3.66
YUFENG 	Wuliting	48055	24134	23921	1228	205	1023	2.56	0.85	4.28
YUFENG 	Rongjun	54223	27887	26336	1628	245	1383	3	0.88	5.25
YUFENG 	Tanzhong	15236	8338	6898	388	55	333	2.55	0.66	4.83
LIUNAN 	Total	273182	141553	131629	8457	1306	7151	3.10	0.92	5.43
LIUNAN 	Hexi	83765	44890	38875	2718	471	2247	3.24	1.05	5.78
LIUNAN 	Liunan	31269	15600	15669	865	140	725	2.77	0.90	4.63
LIUNAN 	Liushi	28310	14331	13979	1003	150	853	3.54	1.05	6.10
LIUNAN 	Nanzhan	42045	20835	21210	1205	127	1078	2.87	0.61	5.08
LIUNAN 	Eshan	54037	28066	25971	1527	244	1283	2.83	0.87	4.94
LIUNAN 	Jiujichang	33756	17831	15925	1139	174	965	3.37	0.98	6.06
LIUBEI 	Total	246908	125723	121185	6289	809	5480	2.55	0.64	4.52
LIUBEI 	Jiefang	49253	24539	24714	1351	154	1197	2.74	0.63	4.84
LIUBEI 	Yaru	52997	27306	25691	1628	212	1416	3.07	0.78	5.51
LIUBEI 	Shengli	63024	30725	32299	1488	205	1283	2.36	0.67	3.97
LIUBEI 	Queershan	37999	19641	18358	938	126	812	2.47	0.64	4.42
LIUBEI 	Liuzhougangtiegongsi	43635	23512	20123	884	112	772	2.03	0.48	3.84
LIUZHOUJIAOQU 	Total	203587	111632	91955	8742	1759	6983	4.29	1.58	7.59
LIUZHOUJIAOQU 	Shibeiping	14259	7596	6663	418	102	316	2.93	1.34	4.74
LIUZHOUJIAOQU 	Shatang	29438	15379	14059	1078	212	866	3.66	1.38	6.16
LIUZHOUJIAOQU 	Changtang	24000	13037	10963	1083	222	861	4.51	1.70	7.85
LIUZHOUJIAOQU 	Luobu	2996	1589	1407	230	38	192	7.68	2.39	13.65
LIUZHOUJIAOQU 	Liudong	52963	30282	22681	1454	289	1165	2.75	0.95	5.14
LIUZHOUJIAOQU 	Yangjiaoshan	22032	12149	9883	1197	246	951	5.43	2.02	9.62
LIUZHOUJIAOQU 	Taiyangcun	12249	6617	5632	705	103	602	5.76	1.56	10.69
LIUZHOUJIAOQU 	Huangcun	6735	4058	2677	167	32	135	2.48	0.79	5.04
LIUZHOUJIAOQU 	Bailu	9695	5168	4527	532	126	406	5.49	2.44	8.97
LIUZHOUJIAOQU 	Xie	29220	15757	13463	1878	389	1489	6.43	2.47	11.06
LIUJIANG 	Total	396113	211737	184376	24092	4971	19121	6.08	2.35	10.37
LIUJIANG 	Labao	35801	18203	17598	1461	172	1289	4.08	0.94	7.32
LIUJIANG 	Liyong	21033	11397	9636	716	125	591	3.40	1.10	6.13
LIUJIANG 	Baipeng	41115	21584	19531	1536	296	1240	3.74	1.37	6.35
LIUJIANG 	Chengtuan	34988	18022	16966	2813	592	2221	8.04	3.28	13.09
LIUJIANG 	Luoman	15191	7968	7223	1227	247	980	8.08	3.10	13.57
LIUJIANG 	Liushan	14946	7931	7015	1052	185	867	7.04	2.33	12.36
LIUJIANG 	Sandu	21393	10966	10427	1568	333	1235	7.33	3.04	11.84
LIUJIANG 	Ligao	16427	8689	7738	896	186	710	5.45	2.14	9.18
LIUJIANG 	Jinde	66703	34614	32089	3492	671	2821	5.24	1.94	8.79
LIUJIANG 	Chuanshan	39574	21158	18416	3162	588	2574	7.99	2.78	13.98
LIUJIANG 	Tubo	29440	15725	13715	2418	583	1835	8.21	3.71	13.38
LIUJIANG 	Baisha	12049	6725	5324	924	185	739	7.67	2.75	13.88
LIUJIANG 	Futang	9678	5194	4484	977	155	822	10.10	2.98	18.33
LIUJIANG 	Liuxingshiyekaifazonggongsi	10232	5602	4630	744	183	561	7.27	3.27	12.12
LIUJIANG 	Liuzhoulutangnongchang	9989	8476	1513	432	352	80	4.32	4.15	5.29
LIUJIANG 	Liujiangkaifaqu	17554	9483	8071	674	118	556	3.84	1.24	6.89
LIUCHENG 	Total	271872	145601	126271	16293	3442	12851	5.99	2.36	10.18
LIUCHENG 	Dapu	40852	22752	18100	1818	476	1342	4.45	2.09	7.41
LIUCHENG 	Longtou	12576	6626	5950	852	139	713	6.77	2.10	11.98
LIUCHENG 	Taiping	28033	15132	12901	2000	470	1530	7.13	3.11	11.86
LIUCHENG 	Shapu	23657	12597	11060	1006	215	791	4.25	1.71	7.15
LIUCHENG 	Dongquan	31766	16931	14835	2886	624	2262	9.09	3.69	15.25
LIUCHENG 	Fengshan	16377	8848	7529	665	127	538	4.06	1.44	7.15
