V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
HUANGPU 	Total	15777	7785	7992	6897	4084	2813	1508	830	678	17.94	16.89	19.42
HUANGPU 	Waitan	3861	1869	1992	1781	1035	746	329	185	144	15.59	15.16	16.18
HUANGPU 	Renminguangchang	3483	1711	1772	1512	890	622	265	144	121	14.91	13.93	16.29
HUANGPU 	Nanjingdonglu	4129	2068	2061	1839	1105	734	488	258	230	20.97	18.93	23.86
HUANGPU 	Jinlingdonglu	4304	2137	2167	1765	1054	711	426	243	183	19.44	18.74	20.47
NANSHI 	Total	32989	16524	16465	15503	9320	6183	3748	2069	1679	19.47	18.17	21.36
NANSHI 	Bansongyuanlu	6025	3093	2932	3240	1989	1251	505	269	236	13.48	11.91	15.87
NANSHI 	Dongjiadu	7447	3762	3685	3704	2238	1466	710	371	339	16.09	14.22	18.78
NANSHI 	Xiaodongmen	5273	2631	2642	2431	1482	949	521	290	231	17.65	16.37	19.58
NANSHI 	Yuyuan	4180	2057	2123	1720	1010	710	567	338	229	24.79	25.07	24.39
NANSHI 	Laoximen	10064	4981	5083	4408	2601	1807	1445	801	644	24.69	23.54	26.27
LUWAN 	Total	28627	14080	14547	13394	7816	5578	2646	1435	1211	16.5	15.51	17.84
LUWAN 	Ruijinerlu	6563	3135	3428	2895	1639	1256	640	345	295	18.10	17.39	19.02
LUWAN 	Huaihaizhonglu	8963	4372	4591	3797	2238	1559	945	521	424	19.93	18.88	21.38
LUWAN 	Dapuqiao	6099	2994	3105	2977	1732	1245	526	275	251	15.02	13.70	16.78
LUWAN 	Wuliqiao	7002	3579	3423	3725	2207	1518	535	294	241	12.56	11.76	13.70
XUHUI 	Total	91790	46356	45434	48563	28469	20094	4142	2191	1951	7.86	7.15	8.85
XUHUI 	Tianpinglu	6734	3186	3548	3109	1729	1380	344	176	168	9.96	9.24	10.85
XUHUI 	Hunanlu	4382	2076	2306	2129	1156	973	146	76	70	6.42	6.17	6.71
XUHUI 	Xietulu	6613	3347	3266	3550	2080	1470	318	171	147	8.22	7.60	9.09
XUHUI 	Fenglinlu	9770	4788	4982	4607	2628	1979	398	203	195	7.95	7.17	8.97
XUHUI 	Changqiao	10264	5247	5017	5104	3075	2029	822	440	382	13.87	12.52	15.84
XUHUI 	Tianlin	9011	4638	4373	5368	3168	2200	240	126	114	4.28	3.83	4.93
XUHUI 	Hongmei	3164	1644	1520	2278	1321	957	96	51	45	4.04	3.72	4.49
XUHUI 	Kangjianxincun	5233	2558	2675	2957	1708	1249	228	108	120	7.16	5.95	8.77
XUHUI 	Xujiahui	8455	4442	4013	4404	2620	1784	256	138	118	5.49	5	6.20
XUHUI 	Lingyun	8608	4530	4078	3972	2334	1638	475	258	217	10.68	9.95	11.70
XUHUI 	Longhua	7526	3868	3658	4311	2571	1740	383	211	172	8.16	7.58	9
XUHUI 	Caohejing	8581	4183	4398	4741	2791	1950	261	133	128	5.22	4.55	6.16
XUHUI 	Huajing	3449	1849	1600	2033	1288	745	175	100	75	7.93	7.20	9.15
