V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
XIAODIAN 	Total	485592	247015	238577	181532	94123	87409	304060	152892	151168	62.62	61.90	63.36
XIAODIAN 	Wucheng	101280	51910	49370	13344	7422	5922	87936	44488	43448	86.82	85.70	88
XIAODIAN 	Yingpan	81980	41165	40815	7608	3586	4022	74372	37579	36793	90.72	91.29	90.15
XIAODIAN 	Beiying	37452	18658	18794	11266	5732	5534	26186	12926	13260	69.92	69.28	70.55
XIAODIAN 	Pingyang	73808	37327	36481	19246	10741	8505	54562	26586	27976	73.92	71.22	76.69
XIAODIAN 	Huangling	39016	18613	20403	15663	8076	7587	23353	10537	12816	59.85	56.61	62.81
XIAODIAN 	Xiaodian	59421	31813	27608	29636	14927	14709	29785	16886	12899	50.13	53.08	46.72
XIAODIAN 	Beige	36896	19770	17126	35853	19124	16729	1043	646	397	2.83	3.27	2.32
XIAODIAN 	Xiwenzhuang	23923	11708	12215	18310	9231	9079	5613	2477	3136	23.46	21.16	25.67
XIAODIAN 	Liujiabao	31816	16051	15765	30606	15284	15322	1210	767	443	3.80	4.78	2.81
YINGZE 	Total	467340	235460	231880	66387	36295	30092	400953	199165	201788	85.79	84.59	87.02
YINGZE 	Liuxang	33851	16837	17014	3447	1753	1694	30404	15084	15320	89.82	89.59	90.04
YINGZE 	Wenmiao	63418	31458	31960	5761	3137	2624	57657	28321	29336	90.92	90.03	91.79
YINGZE 	Miaoqian	64138	31774	32364	4913	2552	2361	59225	29222	30003	92.34	91.97	92.70
YINGZE 	Yingze	102388	52812	49576	8339	5577	2762	94049	47235	46814	91.86	89.44	94.43
YINGZE 	Qiaodong	113450	56767	56683	12584	6618	5966	100866	50149	50717	88.91	88.34	89.47
YINGZE 	Laojunying	59563	29459	30104	5435	2909	2526	54128	26550	27578	90.88	90.13	91.61
YINGZE 	Haozhuang	27983	14893	13090	23489	12367	11122	4494	2526	1968	16.06	16.96	15.03
YINGZE 	Mengjiajing	2549	1460	1089	2419	1382	1037	130	78	52	5.10	5.34	4.78
XINGHUALING 	Total	516286	263393	252893	68418	35896	32522	447868	227497	220371	86.75	86.37	87.14
XINGHUALING 	Julun	74954	38237	36717	5542	2999	2543	69412	35238	34174	92.61	92.16	93.07
XINGHUALING 	Sanqiao	77605	38244	39361	1567	760	807	76038	37484	38554	97.98	98.01	97.95
XINGHUALING 	Gulou	32311	15753	16558	1767	882	885	30544	14871	15673	94.53	94.40	94.66
XINGHUALING 	Xinghualing	32811	16507	16304	2428	1636	792	30383	14871	15512	92.60	90.09	95.14
XINGHUALING 	Balingqiao	33409	16827	16582	2063	1090	973	31346	15737	15609	93.83	93.52	94.13
XINGHUALING 	Dadongguan	42154	22546	19608	5900	3582	2318	36254	18964	17290	86	84.11	88.18
XINGHUALING 	Zhigongxinjie	41599	21014	20585	4404	2021	2383	37195	18993	18202	89.41	90.38	88.42
XINGHUALING 	Dunhuafang	73640	38057	35583	4614	2137	2477	69026	35920	33106	93.73	94.38	93.04
XINGHUALING 	Jianhe	67734	34830	32904	7137	3470	3667	60597	31360	29237	89.46	90.04	88.86
