V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
GULOU 	Total	42493	21033	21460	24584	13493	11091	2063	1038	1025	7.74	7.14	8.46
GULOU 	Gudong	2954	1378	1576	1863	967	896	141	69	72	7.04	6.66	7.44
GULOU 	Guxi	4289	2051	2238	2571	1399	1172	213	95	118	7.65	6.36	9.15
GULOU 	Wenquan	3833	1911	1922	2382	1329	1053	226	99	127	8.67	6.93	10.76
GULOU 	Dongjie	2187	1038	1149	1304	688	616	131	67	64	9.13	8.87	9.41
GULOU 	Nanjie	4371	2099	2272	2383	1318	1065	248	135	113	9.43	9.29	9.59
GULOU 	Antai	2263	1075	1188	1206	679	527	133	80	53	9.93	10.54	9.14
GULOU 	Huada	5024	2508	2516	3179	1661	1518	228	114	114	6.69	6.42	6.99
GULOU 	Shuibu	2645	1284	1361	1594	894	700	142	70	72	8.18	7.26	9.33
GULOU 	Wufeng	5507	2690	2817	3362	1775	1587	203	96	107	5.69	5.13	6.32
GULOU 	Hongshan	9420	4999	4421	4740	2783	1957	398	213	185	7.75	7.11	8.64
TAIJIANG 	Total	28459	14233	14226	14559	8718	5841	2540	1352	1188	14.85	13.43	16.90
TAIJIANG 	Yingzhou	3721	1878	1843	1942	1207	735	324	172	152	14.30	12.47	17.14
TAIJIANG 	Houzhou	1169	580	589	570	345	225	141	86	55	19.83	19.95	19.64
TAIJIANG 	Yizhou	2889	1431	1458	1421	861	560	338	181	157	19.22	17.37	21.90
TAIJIANG 	Xingang	3086	1557	1529	1720	1027	693	301	163	138	14.89	13.70	16.61
TAIJIANG 	Shanghai	5219	2615	2604	2492	1434	1058	350	163	187	12.32	10.21	15.02
TAIJIANG 	Shuanghang	1711	863	848	810	491	319	178	99	79	18.02	16.78	19.85
TAIJIANG 	Cangxia	855	434	421	416	263	153	72	33	39	14.75	11.15	20.31
TAIJIANG 	Bangzhou	1344	655	689	567	342	225	112	77	35	16.49	18.38	13.46
TAIJIANG 	Chating	2430	1171	1259	1410	778	632	176	86	90	11.10	9.95	12.47
TAIJIANG 	Yangzhong	2269	1099	1170	1147	691	456	229	129	100	16.64	15.73	17.99
TAIJIANG 	Aofeng	1817	949	868	1069	667	402	133	73	60	11.06	9.86	12.99
TAIJIANG 	Ninghua	1949	1001	948	995	612	383	186	90	96	15.75	12.82	20.04
CANGSHAN 	Total	38469	19075	19394	19374	11425	7949	2082	1195	887	9.70	9.47	10.04
CANGSHAN 	Cangqian	1926	910	1016	880	500	380	222	137	85	20.15	21.51	18.28
CANGSHAN 	Dongsheng	804	397	407	513	271	242	53	33	20	9.36	10.86	7.63
CANGSHAN 	Duihu	2336	1170	1166	886	481	405	91	57	34	9.31	10.59	7.74
CANGSHAN 	Linjiang	1417	675	742	696	389	307	97	57	40	12.23	12.78	11.53
CANGSHAN 	Sanchajie	1547	782	765	849	506	343	113	61	52	11.75	10.76	13.16
CANGSHAN 	Shangdu	1033	583	450	517	337	180	44	29	15	7.84	7.92	7.69
CANGSHAN 	Xiadu	2695	1328	1367	1276	738	538	338	184	154	20.94	19.96	22.25
CANGSHAN 	Cangshan	3879	1831	2048	1589	866	723	138	73	65	7.99	7.77	8.25
CANGSHAN 	Chengmen	6663	3330	3333	4098	2556	1542	320	201	119	7.24	7.29	7.16
CANGSHAN 	Gaishan	6890	3399	3491	4014	2400	1614	331	183	148	7.62	7.08	8.40
CANGSHAN 	Jianxin	5432	2679	2753	2941	1684	1257	243	131	112	7.63	7.22	8.18
CANGSHAN 	Luozhou	1576	821	755	653	426	227	63	36	27	8.80	7.79	10.63
CANGSHAN 	Fujianshifandaxue	1058	493	565	66	40	26	1	1	          	1.49	2.44	          
CANGSHAN 	Fujiannongyedaxue	840	494	346	183	108	75	9	1	8	4.69	0.92	9.64
CANGSHAN 	Hongxingnongchang	373	183	190	213	123	90	19	11	8	8.19	8.21	8.16
MAWEI 	Total	15768	7666	8102	8816	5334	3482	1551	967	584	14.96	15.35	14.36
MAWEI 	Luoxing	4743	2110	2633	3723	1744	1979	211	115	96	5.36	6.19	4.63
MAWEI 	Mawei	2630	1368	1262	1604	936	668	221	154	67	12.11	14.13	9.12
MAWEI 	Tingjiang	3099	1538	1561	1181	873	308	536	360	176	31.22	29.20	36.36
MAWEI 	Langqi	5296	2650	2646	2308	1781	527	583	338	245	20.17	15.95	31.74
JINAN 	Total	37508	19029	18479	24178	13980	10198	1814	984	830	6.98	6.58	7.53
JINAN 	Chayuan	5876	2926	2950	3685	2106	1579	281	136	145	7.09	6.07	8.41
JINAN 	Wangzhuang	3001	1471	1530	1798	1032	766	155	81	74	7.94	7.28	8.81
JINAN 	Xiangyuan	3491	1771	1720	1815	1081	734	236	129	107	11.51	10.66	12.72
JINAN 	Gushan	11570	5943	5627	8111	4697	3414	487	278	209	5.66	5.59	5.77
JINAN 	Xindian	5492	2800	2692	3682	2098	1584	303	165	138	7.60	7.29	8.01
JINAN 	Yuefeng	5873	2973	2900	3477	2063	1414	289	161	128	7.67	7.24	8.30
JINAN 	Huanxi	672	346	326	443	249	194	24	16	8	5.14	6.04	3.96
JINAN 	Lingtou	391	209	182	311	175	136	4	1	3	1.27	0.57	2.16
JINAN 	Shoushan	496	252	244	375	205	170	7	4	3	1.83	1.91	1.73
JINAN 	Rixi	512	270	242	412	231	181	18	8	10	4.19	3.35	5.24
JINAN 	Guling	134	68	66	69	43	26	10	5	5	12.66	10.42	16.13
MINHOU 	Total	42771	21942	20829	30753	17698	13055	1168	641	527	3.66	3.5	3.88
MINHOU 	Ganzhe	3227	1661	1566	2239	1309	930	103	55	48	4.40	4.03	4.91
MINHOU 	Baisha	2412	1247	1165	1806	1027	779	44	23	21	2.38	2.19	2.62
MINHOU 	Nanyu	3810	1918	1892	2835	1515	1320	69	39	30	2.38	2.51	2.22
MINHOU 	Shanggan	1374	699	675	845	548	297	58	33	25	6.42	5.68	7.76
MINHOU 	Xiangqian	3953	2063	1890	2998	1727	1271	73	45	28	2.38	2.54	2.16
MINHOU 	Qingkou	4963	2549	2414	3340	2082	1258	162	94	68	4.63	4.32	5.13
