V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
GULOU 	Total	490190	247931	242259	11645	2951	8694	2.38	1.19	3.59
GULOU 	Gudong	34705	16465	18240	825	171	654	2.38	1.04	3.59
GULOU 	Guxi	46971	23017	23954	1067	233	834	2.27	1.01	3.48
GULOU 	Wenquan	42533	21322	21211	1017	202	815	2.39	0.95	3.84
GULOU 	Dongjie	25055	12094	12961	609	121	488	2.43	1	3.77
GULOU 	Nanjie	47176	22882	24294	1164	254	910	2.47	1.11	3.75
GULOU 	Antai	29166	15431	13735	596	121	475	2.04	0.78	3.46
GULOU 	Huada	57819	29611	28208	1398	387	1011	2.42	1.31	3.58
GULOU 	Shuibu	29991	14921	15070	779	141	638	2.60	0.94	4.23
GULOU 	Wufeng	69109	34432	34677	1642	460	1182	2.38	1.34	3.41
GULOU 	Hongshan	107665	57756	49909	2548	861	1687	2.37	1.49	3.38
TAIJIANG 	Total	316790	160495	156295	15016	3739	11277	4.74	2.33	7.22
TAIJIANG 	Yingzhou	42104	21569	20535	2210	617	1593	5.25	2.86	7.76
TAIJIANG 	Houzhou	12285	6455	5830	520	91	429	4.23	1.41	7.36
TAIJIANG 	Yizhou	30416	15278	15138	1083	193	890	3.56	1.26	5.88
TAIJIANG 	Xingang	33248	16710	16538	1885	560	1325	5.67	3.35	8.01
TAIJIANG 	Shanghai	58682	29459	29223	2215	618	1597	3.77	2.10	5.46
TAIJIANG 	Shuanghang	18029	9149	8880	1120	243	877	6.21	2.66	9.88
TAIJIANG 	Cangxia	9979	5380	4599	688	160	528	6.89	2.97	11.48
TAIJIANG 	Bangzhou	14247	6972	7275	893	157	736	6.27	2.25	10.12
TAIJIANG 	Chating	27985	14083	13902	1220	276	944	4.36	1.96	6.79
TAIJIANG 	Yangzhong	24502	12009	12493	1166	246	920	4.76	2.05	7.36
TAIJIANG 	Aofeng	21566	10816	10750	1019	330	689	4.73	3.05	6.41
TAIJIANG 	Ninghua	23747	12615	11132	997	248	749	4.20	1.97	6.73
CANGSHAN 	Total	416575	210198	206377	19800	6609	13191	4.75	3.14	6.39
CANGSHAN 	Cangqian	21064	10008	11056	949	295	654	4.51	2.95	5.92
CANGSHAN 	Dongsheng	8223	4169	4054	479	190	289	5.83	4.56	7.13
CANGSHAN 	Duihu	24337	12203	12134	689	204	485	2.83	1.67	4
CANGSHAN 	Linjiang	19529	11431	8098	1215	431	784	6.22	3.77	9.68
CANGSHAN 	Sanchajie	17494	8790	8704	1174	376	798	6.71	4.28	9.17
CANGSHAN 	Shangdu	11304	6451	4853	270	53	217	2.39	0.82	4.47
CANGSHAN 	Xiadu	27705	13624	14081	1765	495	1270	6.37	3.63	9.02
CANGSHAN 	Cangshan	41863	20210	21653	870	209	661	2.08	1.03	3.05
CANGSHAN 	Chengmen	73747	36494	37253	4845	1875	2970	6.57	5.14	7.97
CANGSHAN 	Gaishan	74810	37567	37243	3895	1343	2552	5.21	3.57	6.85
CANGSHAN 	Jianxin	56343	27960	28383	2625	826	1799	4.66	2.95	6.34
CANGSHAN 	Luozhou	17120	8954	8166	778	280	498	4.54	3.13	6.10
CANGSHAN 	Fujianshifandaxue	10396	4921	5475	6	1	5	0.06	0.02	0.09
CANGSHAN 	Fujiannongyedaxue	8856	5542	3314	62	3	59	0.70	0.05	1.78
CANGSHAN 	Hongxingnongchang	3784	1874	1910	178	28	150	4.70	1.49	7.85
MAWEI 	Total	171406	85361	86045	8318	1635	6683	4.85	1.92	7.77
MAWEI 	Luoxing	53809	25326	28483	1075	240	835	2	0.95	2.93
MAWEI 	Mawei	27349	14141	13208	980	175	805	3.58	1.24	6.09
MAWEI 	Tingjiang	34743	18225	16518	2587	568	2019	7.45	3.12	12.22
MAWEI 	Langqi	55505	27669	27836	3676	652	3024	6.62	2.36	10.86
JINAN 	Total	446617	232231	214386	14474	3856	10618	3.24	1.66	4.95
JINAN 	Chayuan	68447	35225	33222	2412	776	1636	3.52	2.20	4.92
JINAN 	Wangzhuang	32061	16131	15930	183	34	149	0.57	0.21	0.94
