V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
HUANGPU 	Total	167833	85258	82575	4089	431	3658	2.44	0.51	4.43
HUANGPU 	Waitan	44034	22903	21131	964	115	849	2.19	0.5	4.02
HUANGPU 	Renminguangchang	37015	18868	18147	681	72	609	1.84	0.38	3.36
HUANGPU 	Nanjingdonglu	42859	21591	21268	1335	118	1217	3.11	0.55	5.72
HUANGPU 	Jinlingdonglu	43925	21896	22029	1109	126	983	2.52	0.58	4.46
NANSHI 	Total	340050	171891	168159	16743	2034	14709	4.92	1.18	8.75
NANSHI 	Bansongyuanlu	62838	32899	29939	3470	462	3008	5.52	1.40	10.05
NANSHI 	Dongjiadu	76620	39413	37207	4053	515	3538	5.29	1.31	9.51
NANSHI 	Xiaodongmen	54607	27269	27338	2704	345	2359	4.95	1.27	8.63
NANSHI 	Yuyuan	43388	21378	22010	1885	195	1690	4.34	0.91	7.68
NANSHI 	Laoximen	102597	50932	51665	4631	517	4114	4.51	1.02	7.96
LUWAN 	Total	292654	146368	146286	10439	1207	9232	3.57	0.82	6.31
LUWAN 	Ruijinerlu	66147	31832	34315	1550	117	1433	2.34	0.37	4.18
LUWAN 	Huaihaizhonglu	90584	44795	45789	3248	313	2935	3.59	0.70	6.41
LUWAN 	Dapuqiao	62359	30977	31382	2391	237	2154	3.83	0.77	6.86
LUWAN 	Wuliqiao	73564	38764	34800	3250	540	2710	4.42	1.39	7.79
XUHUI 	Total	950342	486685	463657	27346	3961	23385	2.88	0.81	5.04
XUHUI 	Tianpinglu	70056	33811	36245	1376	105	1271	1.96	0.31	3.51
XUHUI 	Hunanlu	46393	22597	23796	1149	87	1062	2.48	0.39	4.46
XUHUI 	Xietulu	68266	34845	33421	2601	342	2259	3.81	0.98	6.76
XUHUI 	Fenglinlu	100931	49992	50939	2478	269	2209	2.46	0.54	4.34
XUHUI 	Changqiao	106004	54215	51789	4071	601	3470	3.84	1.11	6.70
XUHUI 	Tianlin	91208	47692	43516	2399	454	1945	2.63	0.95	4.47
XUHUI 	Hongmei	35937	19187	16750	1028	211	817	2.86	1.10	4.88
XUHUI 	Kangjianxincun	53625	26769	26856	1234	140	1094	2.30	0.52	4.07
XUHUI 	Xujiahui	86760	45893	40867	2400	307	2093	2.77	0.67	5.12
XUHUI 	Lingyun	87269	46353	40916	2237	341	1896	2.56	0.74	4.63
XUHUI 	Longhua	79318	41579	37739	2304	379	1925	2.90	0.91	5.10
XUHUI 	Caohejing	88750	44022	44728	2222	368	1854	2.5	0.84	4.15
XUHUI 	Huajing	35825	19730	16095	1847	357	1490	5.16	1.81	9.26
CHANGNING 	Total	623664	320257	303407	22231	3495	18736	3.56	1.09	6.18
CHANGNING 	Huayanglu	73585	36768	36817	3118	391	2727	4.24	1.06	7.41
CHANGNING 	Jiangsulu	47554	23455	24099	1535	194	1341	3.23	0.83	5.56
CHANGNING 	Xinhualu	57944	28892	29052	1542	169	1373	2.66	0.58	4.73
CHANGNING 	Zhoujiaqiao	47541	24648	22893	2144	298	1846	4.51	1.21	8.06
CHANGNING 	Tianshanlu	77154	39050	38104	2391	287	2104	3.10	0.73	5.52
CHANGNING 	Xianxiaxincun	77301	37840	39461	1900	231	1669	2.46	0.61	4.23
CHANGNING 	Hongqiao	59622	31893	27729	1740	319	1421	2.92	1	5.12
