V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
53614 1997 19.6000 999014 872.1000 -17.0000 913.3000 36.2000 156.4000 891.3000 2.5000 9.8000 7.9000 55.0000 3.2000 16.9000 40 67.0000 2965.1000 999999.0000 1735.6000 12.5000 999015 46.5000 999999.0000 
53614 1998 24.4000 999999 873.6000 -21.7000 910.0000 36.8000 211.0000 890.4000 2.6000 10.5000 8.8000 58.0000 4.4000 17.4000 50 60.0000 2678.1000 999999.0000 1589.9000 16.5000 999013 25.2000 999999.0000 
53614 1999 25.4000 999015 873.8000 -18.0000 914.8000 35.7000 165.1000 890.7000 2.5000 10.3000 8.5000 54.0000 4.1000 17.1000 37 62.0000 2751.6000 999999.0000 1675.7000 17.6000 999014 33.0000 999999.0000 
53614 2000 23.5000 999014 874.7000 -22.2000 914.2000 38.7000 133.8000 890.5000 2.6000 9.6000 7.9000 53.0000 3.7000 16.4000 37 62.0000 2759.3000 999999.0000 1757.0000 18.6000 999014 31.4000 999999.0000 
53614 2001 27.3000 999013 875.9000 -17.8000 915.4000 37.2000 163.2000 890.9000 2.6000 10.2000 8.0000 53.0000 4.3000 16.7000 43 65.0000 2869.9000 999999.0000 1743.2000 18.3000 999013 30.1000 999999.0000 
53614 2002 23.3000 999014 872.4000 -22.6000 911.6000 35.7000 303.6000 891.0000 2.6000 10.1000 8.4000 57.0000 4.3000 16.8000 49 62.0000 2734.6000 999999.0000 999999.0000 16.5000 999015 50.2000 999999.0000 
53614 2004 23.0000 999014 872.3000 -18.2000 915.5000 35.5000 999999.0000 890.9000 2.4000 10.4000 7.3000 49.0000 4.3000 17.2000 999999 62.0000 2751.6000 999999.0000 999999.0000 17.4000 999014 20.8000 999999.0000 
53614 2005 20.8000 999008 873.1000 -17.6000 913.0000 37.1000 999999.0000 890.6000 2.4000 10.1000 7.1000 48.0000 4.4000 16.6000 999999 63.0000 2813.4000 999999.0000 999999.0000 13.1000 999008 16.3000 999999.0000 
53614 2006 20.3000 999001 871.0000 -18.3000 911.0000 35.7000 999999.0000 890.1000 2.3000 10.9000 7.6000 51.0000 5.3000 17.4000 999999 60.0000 2665.8000 999999.0000 999999.0000 12.5000 999002 87.1000 999999.0000 
53614 2007 17.3000 999015 872.9000 -15.4000 911.8000 35.0000 999999.0000 890.6000 1.9000 10.4000 7.6000 52.0000 5.2000 16.7000 999999 57.0000 2529.8000 999999.0000 999999.0000 10.5000 999006 60.0000 999999.0000 
53614 2008 18.5000 999015 872.5000 -23.4000 915.4000 36.5000 999999.0000 890.7000 1.8000 9.9000 7.0000 49.0000 4.2000 16.4000 999999 64.0000 2824.2000 999999.0000 999999.0000 11.0000 999014 43.3000 999999.0000 
53723 1997 19.8000 999015 849.9000 -19.0000 886.1000 36.7000 256.4000 866.1000 2.8000 9.2000 6.4000 48.0000 2.9000 16.7000 50 70.0000 3124.0000 999999.0000 1987.4000 11.9000 999012 84.7000 999999.0000 
53723 1998 21.0000 999013 851.7000 -22.9000 883.1000 35.8000 365.1000 865.7000 2.8000 10.0000 7.5000 52.0000 4.1000 17.2000 69 67.0000 2969.8000 999999.0000 1873.0000 13.4000 999013 52.4000 999999.0000 
53723 1999 20.6000 999014 849.9000 -20.6000 887.2000 35.2000 294.2000 866.0000 2.7000 9.7000 7.3000 48.0000 3.7000 16.9000 46 69.0000 3073.0000 999999.0000 2015.1000 13.4000 999012 121.2000 999999.0000 
53723 2000 21.0000 999015 852.3000 -23.9000 885.7000 37.5000 160.8000 865.7000 2.7000 9.1000 6.9000 49.0000 2.9000 16.3000 58 67.0000 2969.9000 999999.0000 2003.8000 13.2000 999013 26.6000 999999.0000 
53723 2001 22.5000 999010 851.4000 -18.9000 887.5000 36.7000 387.7000 866.1000 2.8000 9.4000 7.0000 50.0000 3.6000 16.1000 60 66.0000 2908.6000 999999.0000 1928.7000 15.0000 999015 76.3000 999999.0000 
53723 2002 21.7000 999014 849.8000 -26.6000 883.1000 36.5000 399.1000 866.1000 2.6000 9.7000 7.4000 52.0000 4.1000 16.6000 65 66.0000 2911.3000 999999.0000 999999.0000 14.6000 999014 63.0000 999999.0000 
53723 2004 25.2000 999014 850.2000 -26.7000 886.6000 34.4000 999999.0000 865.1000 2.5000 8.1000 6.4000 48.0000 0.5000 16.8000 999999 64.0000 2857.8000 999999.0000 999999.0000 16.6000 999014 27.3000 999999.0000 
53723 2005 21.7000 999014 848.7000 -26.2000 884.9000 36.8000 180.0000 865.5000 2.2000 7.9000 6.1000 46.0000 0.3000 16.0000 51 63.0000 2779.7000 999999.0000 999999.0000 13.3000 999013 24.2000 999999.0000 
53723 2006 21.6000 999014 848.1000 -22.7000 882.6000 36.7000 212.1000 865.1000 2.3000 9.1000 6.6000 49.0000 2.1000 17.0000 57 60.0000 2640.6000 999999.0000 999999.0000 13.3000 999014 27.7000 999999.0000 
53723 2007 19.6000 999014 850.4000 -22.9000 883.5000 34.7000 284.1000 865.5000 2.1000 8.7000 6.6000 51.0000 2.0000 16.2000 68 59.0000 2613.0000 999999.0000 999999.0000 13.2000 999014 33.1000 999999.0000 
53723 2008 21.5000 999014 847.7000 -29.4000 886.6000 34.6000 266.7000 865.6000 2.2000 7.8000 6.4000 52.0000 1.0000 15.5000 62 62.0000 2760.2000 999999.0000 999999.0000 14.1000 999014 45.9000 999999.0000 
