V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
51076 1997 22.1000 999015 913.5000 -33.7000 960.7000 34.6000 145.9000 933.3000 2.5000 6.2000 5.9000 54.0000 -0.3000 12.7000 66 71.0000 3149.3000 999999.0000 1784.5000 15.1000 999014 21.1000 999999.0000 
51076 1998 31.9000 999015 914.1000 -33.6000 958.1000 35.0000 249.6000 933.9000 2.3000 4.9000 6.7000 63.0000 -1.0000 11.0000 102 65.0000 2886.6000 999999.0000 1434.8000 22.1000 999014 16.1000 999999.0000 
51076 1999 21.9000 999013 915.9000 -30.8000 956.9000 36.0000 156.0000 934.2000 2.4000 5.2000 6.4000 60.0000 -0.6000 11.5000 85 69.0000 3061.6000 999999.0000 1524.1000 14.6000 999013 11.0000 999999.0000 
51076 2000 25.2000 999011 915.8000 -37.1000 956.3000 35.0000 279.4000 934.2000 2.2000 4.6000 6.2000 60.0000 -1.4000 10.9000 104 68.0000 3026.1000 999999.0000 1578.4000 17.4000 999009 16.9000 999999.0000 
51076 2001 20.8000 999013 915.6000 -41.7000 964.5000 34.0000 256.6000 934.6000 2.2000 4.5000 6.4000 60.0000 -1.3000 10.8000 96 68.0000 3010.8000 999999.0000 1526.7000 13.8000 999013 35.8000 999999.0000 
51076 2002 23.1000 999013 918.4000 -29.8000 953.9000 37.5000 202.6000 934.7000 2.2000 5.8000 6.5000 59.0000 0.1000 12.0000 83 67.0000 2976.8000 999999.0000 999999.0000 15.7000 999013 15.8000 999999.0000 
51076 2004 20.2000 999012 916.3000 -31.7000 959.1000 37.3000 219.8000 934.9000 2.2000 5.1000 6.4000 60.0000 -0.7000 11.5000 85 69.0000 3066.8000 999999.0000 999999.0000 12.2000 999014 17.2000 999999.0000 
51076 2005 19.6000 999012 916.1000 -38.5000 958.5000 35.3000 250.2000 934.1000 2.0000 4.2000 6.2000 59.0000 -1.3000 10.8000 84 69.0000 3072.7000 999999.0000 999999.0000 13.2000 999013 23.1000 999999.0000 
51076 2006 19.8000 999014 911.4000 -36.8000 962.4000 36.7000 234.8000 933.7000 2.0000 5.2000 5.9000 58.0000 -0.4000 11.8000 78 68.0000 3037.3000 999999.0000 999999.0000 13.3000 999014 19.6000 999999.0000 
51076 2007 25.5000 999013 914.3000 -28.1000 960.6000 36.0000 214.9000 933.8000 2.0000 6.3000 6.2000 57.0000 0.7000 12.9000 70 68.0000 3037.9000 999999.0000 999999.0000 11.2000 999013 25.7000 999999.0000 
51076 2008 20.0000 999010 914.3000 -34.3000 956.7000 36.9000 145.7000 933.8000 2.0000 5.6000 5.7000 54.0000 -0.2000 12.3000 68 68.0000 3050.2000 999999.0000 999999.0000 11.3000 999012 12.1000 999999.0000 
51087 1997 999999.0000 999999 906.0000 -36.9000 951.8000 36.6000 197.8000 925.2000 1.8000 5.0000 5.2000 53.0000 -2.2000 13.0000 59 69.0000 3057.6000 999999.0000 2354.5000 20.0000 999014 23.6000 999999.0000 
51087 1998 999999.0000 999999 904.8000 -38.2000 949.1000 37.1000 187.7000 925.7000 1.7000 4.2000 5.9000 60.0000 -2.3000 11.7000 95 62.0000 2741.9000 999999.0000 1959.8000 18.0000 999014 8.9000 999999.0000 
51087 1999 999999.0000 999999 907.6000 -33.2000 947.9000 38.4000 213.5000 926.1000 1.5000 4.2000 5.8000 60.0000 -2.0000 11.7000 90 65.0000 2894.2000 999999.0000 1936.2000 20.0000 999014 16.1000 999999.0000 
51087 2000 999999.0000 999999 908.1000 -40.9000 947.9000 38.9000 309.3000 926.1000 1.5000 3.6000 5.4000 59.0000 -2.9000 11.3000 102 65.0000 2898.9000 999999.0000 2092.0000 20.0000 999014 20.1000 999999.0000 
51087 2001 999999.0000 999999 906.8000 -41.8000 955.4000 39.2000 213.4000 926.3000 1.4000 3.5000 5.8000 61.0000 -2.8000 11.3000 101 61.0000 2709.5000 999999.0000 1884.0000 20.0000 999014 21.8000 999999.0000 
51087 2002 999999.0000 999999 910.0000 -30.5000 945.1000 39.0000 178.6000 926.2000 1.3000 5.0000 5.7000 59.0000 -1.1000 12.6000 84 63.0000 2790.5000 999999.0000 999999.0000 18.3000 999014 16.4000 999999.0000 
51087 2004 999999.0000 999999 907.6000 -36.5000 949.7000 42.2000 197.9000 926.7000 1.6000 4.4000 5.5000 58.0000 -2.1000 12.0000 80 65.0000 2901.6000 999999.0000 999999.0000 17.0000 999014 14.8000 999999.0000 
51087 2005 22.9000 999014 908.3000 -40.7000 949.9000 36.7000 235.7000 926.1000 2.0000 3.3000 5.5000 58.0000 -2.7000 10.7000 91 65.0000 2876.8000 999999.0000 999999.0000 16.4000 999014 20.9000 999999.0000 
51087 2006 25.7000 999014 902.4000 -39.8000 953.6000 38.9000 188.7000 925.7000 2.0000 4.4000 5.4000 58.0000 -1.9000 11.9000 75 62.0000 2750.6000 999999.0000 999999.0000 15.4000 999014 17.5000 999999.0000 
51087 2007 19.5000 999014 907.6000 -29.6000 951.2000 36.6000 143.0000 925.6000 2.3000 6.0000 5.5000 54.0000 -0.3000 13.7000 58 64.0000 2839.9000 999999.0000 999999.0000 14.6000 999013 31.7000 999999.0000 
51087 2008 24.2000 999012 906.4000 -33.0000 948.1000 37.8000 162.4000 925.7000 2.2000 5.5000 5.2000 54.0000 -0.9000 12.9000 73 63.0000 2820.0000 999999.0000 999999.0000 16.1000 999014 13.2000 999999.0000 
51156 1997 999999.0000 999999 856.6000 -22.0000 892.1000 33.3000 71.9000 872.4000 1.6000 5.7000 5.0000 49.0000 0.2000 12.1000 53 67.0000 2962.8000 999999.0000 2103.2000 999999.0000 999999 11.9000 999999.0000 
51156 1998 999999.0000 999999 855.9000 -25.0000 890.9000 33.6000 134.3000 872.7000 1.5000 4.8000 5.5000 55.0000 -0.3000 11.1000 82 60.0000 2676.1000 999999.0000 1801.9000 999999.0000 999999 11.8000 999999.0000 
51156 1999 999999.0000 999999 854.8000 -22.8000 888.9000 33.1000 153.0000 872.4000 1.8000 4.7000 5.5000 55.0000 -0.4000 11.0000 82 62.0000 2763.4000 999999.0000 1732.6000 999999.0000 999999 18.1000 999999.0000 
51156 2000 999999.0000 999999 857.4000 -27.6000 888.1000 33.6000 141.4000 871.9000 2.1000 4.1000 5.3000 56.0000 -1.2000 10.6000 81 64.0000 2836.8000 999999.0000 1802.5000 999999.0000 999999 9.7000 999999.0000 
51156 2001 999999.0000 999999 858.3000 -32.0000 891.8000 31.5000 175.5000 873.0000 2.0000 4.3000 5.5000 56.0000 -0.9000 10.6000 83 63.0000 2795.6000 999999.0000 1756.9000 999999.0000 999999 20.5000 999999.0000 
51156 2002 999999.0000 999999 859.8000 -22.3000 886.1000 33.5000 188.5000 873.4000 1.8000 4.9000 5.9000 58.0000 -0.2000 11.2000 80 59.0000 2626.2000 999999.0000 999999.0000 999999.0000 999999 20.5000 999999.0000 
51156 2004 999999.0000 999999 858.9000 -25.7000 889.3000 36.8000 164.9000 873.4000 2.0000 4.7000 5.2000 54.0000 -0.5000 11.0000 87 66.0000 2938.6000 999999.0000 999999.0000 999999.0000 999999 15.2000 999999.0000 
51156 2005 25.9000 999013 857.2000 -29.1000 891.2000 32.2000 168.2000 872.6000 2.2000 3.7000 5.1000 53.0000 -1.1000 9.9000 69 69.0000 3052.1000 999999.0000 999999.0000 16.4000 999012 15.0000 999999.0000 
51156 2006 24.8000 999011 850.2000 -25.4000 892.4000 34.9000 80.1000 872.3000 2.3000 5.1000 4.8000 52.0000 -0.1000 11.3000 74 68.0000 3005.3000 999999.0000 999999.0000 15.2000 999011 8.8000 999999.0000 
51156 2007 24.4000 999011 858.3000 -26.6000 890.3000 32.3000 285.4000 872.6000 2.2000 5.1000 5.3000 53.0000 0.2000 11.4000 85 67.0000 3000.8000 999999.0000 999999.0000 12.8000 999013 61.5000 999999.0000 
51156 2008 24.7000 999982 857.5000 -27.2000 888.2000 33.9000 92.6000 872.7000 2.3000 5.2000 4.7000 49.0000 0.1000 11.5000 55 68.0000 3013.8000 999999.0000 999999.0000 15.0000 999014 11.4000 999999.0000 
51243 1997 32.5000 999015 946.0000 -24.7000 996.1000 39.5000 37.5000 966.4000 3.0000 10.2000 5.0000 43.0000 5.5000 15.3000 31 66.0000 2917.0000 999999.0000 3326.0000 21.8000 999015 6.5000 999999.0000 
51243 1998 31.5000 999982 944.7000 -30.2000 994.1000 39.8000 123.5000 966.9000 3.0000 9.2000 6.1000 50.0000 5.0000 14.2000 66 58.0000 2597.6000 999999.0000 2881.5000 23.3000 999014 24.5000 999999.0000 
51243 1999 33.5000 999014 945.3000 -23.9000 990.5000 39.9000 123.7000 966.5000 2.8000 9.5000 6.4000 51.0000 5.4000 14.2000 75 61.0000 2689.8000 999999.0000 2626.2000 23.7000 999014 12.3000 999999.0000 
51243 2000 38.3000 999013 945.0000 -25.8000 990.2000 41.3000 81.1000 966.4000 2.7000 8.9000 5.8000 50.0000 4.5000 14.0000 73 61.0000 2738.2000 999999.0000 2824.2000 25.1000 999013 6.8000 999999.0000 
51243 2001 35.4000 999013 944.9000 -29.4000 1000.9000 40.1000 148.5000 966.7000 2.8000 9.2000 6.4000 51.0000 4.9000 14.2000 76 65.0000 2901.9000 999999.0000 2723.8000 24.5000 999013 22.0000 999999.0000 
51243 2002 32.7000 999982 948.2000 -24.2000 989.2000 41.7000 173.9000 967.0000 2.7000 9.2000 6.8000 54.0000 5.2000 14.2000 84 58.0000 2576.2000 999999.0000 999999.0000 22.1000 999014 23.0000 999999.0000 
51243 2004 31.3000 999014 944.7000 -26.7000 994.5000 44.0000 178.7000 967.1000 3.0000 9.5000 5.8000 49.0000 5.4000 14.4000 83 58.0000 2555.3000 999999.0000 999999.0000 19.8000 999014 29.8000 999999.0000 
51243 2005 33.5000 999014 946.0000 -30.7000 995.7000 41.0000 150.2000 966.7000 2.6000 8.4000 6.0000 50.0000 4.2000 13.3000 82 59.0000 2637.8000 999999.0000 999999.0000 23.8000 999014 22.8000 999999.0000 
51243 2006 34.3000 999014 941.1000 -31.4000 1000.8000 41.9000 107.9000 966.1000 2.8000 9.4000 6.0000 50.0000 5.3000 14.3000 90 59.0000 2597.3000 999999.0000 999999.0000 21.3000 999014 8.8000 999999.0000 
