V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
57799 1997 999999.0000 999999 987.4000 -1.6000 1029.9000 36.0000 1972.6000 1007.1000 1.8000 18.5000 18.8000 81.0000 15.6000 22.7000 188 30.0000 1331.2000 892.6000 1371.8000 14.3000 999010 99.2000 999999.0000 
57799 1998 999999.0000 999999 989.5000 -1.9000 1029.0000 39.4000 1816.0000 1006.4000 1.9000 19.7000 19.3000 78.0000 16.2000 24.1000 155 36.0000 1602.4000 1006.9000 1640.1000 14.0000 999010 70.0000 999999.0000 
57799 1999 999999.0000 999999 987.9000 -4.9000 1031.8000 37.0000 1628.5000 1005.9000 1.6000 19.0000 19.2000 79.0000 15.7000 23.5000 137 33.0000 1420.5000 836.6000 1445.7000 14.7000 999009 98.8000 999999.0000 
57799 2000 999999.0000 999999 989.2000 -3.1000 1031.9000 38.8000 1439.1000 1006.3000 1.7000 18.4000 18.7000 82.0000 15.3000 22.2000 168 28.0000 1217.2000 850.6000 1468.9000 13.0000 999014 78.8000 999999.0000 
57799 2001 999999.0000 999999 985.6000 -1.7000 1030.4000 38.8000 1566.7000 1006.4000 1.8000 18.7000 18.7000 80.0000 15.5000 23.0000 147 32.0000 1434.1000 841.1000 1547.0000 12.0000 999012 101.7000 999999.0000 
57799 2002 999999.0000 999999 986.3000 -2.1000 1029.5000 38.1000 2111.4000 1006.9000 1.6000 19.0000 19.4000 83.0000 16.0000 23.3000 170 31.0000 1384.6000 775.1000 999999.0000 10.0000 999013 158.5000 999999.0000 
57799 2004 26.4000 999015 987.2000 -1.8000 1032.9000 39.5000 1315.6000 1007.3000 1.3000 19.1000 17.8000 75.0000 15.3000 24.4000 128 41.0000 1794.0000 908.7000 999999.0000 15.0000 999014 75.8000 999999.0000 
57799 2005 22.9000 999016 987.6000 -4.4000 1030.7000 38.3000 1646.0000 1007.7000 1.6000 18.6000 18.9000 80.0000 15.5000 22.8000 155 32.0000 1425.4000 868.9000 999999.0000 13.1000 999015 108.5000 999999.0000 
57799 2006 18.2000 999016 980.6000 -3.4000 1029.4000 38.4000 1604.5000 1006.3000 1.6000 19.2000 19.5000 81.0000 16.0000 23.7000 147 32.0000 1428.3000 861.6000 999999.0000 12.0000 999016 93.9000 999999.0000 
57799 2007 19.6000 999015 983.6000 0.2000 1027.2000 40.6000 1375.1000 1006.1000 1.6000 19.7000 19.0000 78.0000 16.2000 24.5000 127 38.0000 1665.2000 983.4000 999999.0000 14.0000 999013 70.1000 999999.0000 
