V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
52533 1997 20.6000 999013 834.2000 -20.7000 874.0000 35.5000 46.1000 852.7000 2.2000 8.1000 5.7000 45.0000 1.0000 15.9000 28 70.0000 3117.8000 999999.0000 2284.9000 11.7000 999014 8.5000 999999.0000 
52533 1998 22.7000 999014 837.6000 -24.4000 870.1000 34.2000 85.2000 852.7000 1.9000 8.9000 6.3000 48.0000 2.5000 16.2000 41 63.0000 2798.2000 999999.0000 2204.4000 15.2000 999014 19.0000 999999.0000 
52533 1999 23.1000 999014 836.7000 -22.0000 871.5000 36.6000 54.8000 852.6000 2.1000 8.5000 6.1000 46.0000 1.9000 16.0000 32 70.0000 3105.6000 999999.0000 2254.4000 13.2000 999013 5.6000 999999.0000 
52533 2000 23.5000 999014 837.0000 -26.4000 871.0000 35.2000 90.7000 852.4000 2.4000 7.8000 6.0000 48.0000 1.2000 15.2000 38 72.0000 3201.4000 999999.0000 2187.0000 14.9000 999013 23.5000 999999.0000 
52533 2001 24.0000 999014 837.3000 -23.4000 874.4000 35.7000 60.2000 852.5000 2.4000 8.2000 5.8000 46.0000 1.7000 15.7000 35 70.0000 3093.0000 999999.0000 2327.9000 14.2000 999014 9.9000 999999.0000 
52533 2002 26.9000 999014 838.0000 -29.6000 867.5000 33.5000 88.3000 852.6000 2.4000 8.5000 6.2000 49.0000 2.2000 15.7000 36 68.0000 2991.4000 999999.0000 999999.0000 16.0000 999014 14.8000 999999.0000 
52533 2004 24.0000 999014 835.1000 -25.1000 875.8000 33.9000 999999.0000 852.6000 2.4000 8.4000 5.3000 43.0000 1.8000 15.9000 999999 73.0000 3240.1000 999999.0000 999999.0000 15.1000 999015 9.0000 999999.0000 
52533 2005 22.1000 999016 835.7000 -23.4000 873.5000 35.5000 83.8000 852.4000 2.1000 7.9000 5.6000 45.0000 1.6000 15.3000 33 68.0000 3002.1000 999999.0000 999999.0000 16.0000 999015 10.2000 999999.0000 
52533 2006 22.6000 999014 831.4000 -25.3000 869.6000 34.8000 103.1000 852.4000 2.4000 8.6000 5.9000 49.0000 2.2000 16.0000 41 71.0000 3170.2000 999999.0000 999999.0000 15.5000 999014 33.3000 999999.0000 
52533 2007 25.1000 999014 835.2000 -19.3000 871.4000 35.1000 999999.0000 852.4000 2.2000 8.6000 6.8000 51.0000 2.3000 15.8000 999999 65.0000 2861.6000 999999.0000 999999.0000 13.8000 999014 19.9000 999999.0000 
52533 2008 28.2000 999012 836.9000 -27.8000 870.9000 35.0000 69.1000 852.5000 2.2000 7.8000 6.1000 51.0000 1.2000 15.3000 45 71.0000 3148.4000 999999.0000 999999.0000 15.2000 999015 7.5000 999999.0000 
52681 1997 19.6000 999014 845.1000 -19.0000 886.1000 41.1000 92.6000 864.4000 2.7000 8.9000 5.8000 43.0000 1.6000 16.9000 24 77.0000 3418.2000 999999.0000 2783.5000 15.0000 999015 25.6000 999999.0000 
52681 1998 25.2000 999015 848.0000 -23.1000 882.1000 37.1000 114.9000 863.6000 2.9000 10.0000 6.5000 46.0000 3.0000 17.7000 42 67.0000 2972.6000 999999.0000 2727.3000 16.6000 999014 23.6000 999999.0000 
52681 1999 23.3000 999014 846.3000 -21.8000 885.3000 40.7000 94.4000 863.6000 2.7000 9.8000 6.3000 42.0000 3.0000 17.3000 35 76.0000 3352.7000 999999.0000 2718.9000 15.3000 999015 20.5000 999999.0000 
52681 2000 999999.0000 999999 847.7000 -23.2000 882.4000 38.7000 122.1000 863.6000 2.2000 9.1000 6.1000 45.0000 2.3000 16.4000 34 74.0000 3297.4000 999999.0000 2580.4000 18.3000 999014 17.5000 999999.0000 
52681 2001 999999.0000 999999 846.5000 -19.5000 886.9000 38.5000 96.9000 863.8000 2.2000 9.2000 6.0000 44.0000 2.5000 16.5000 35 74.0000 3269.1000 999999.0000 2663.5000 17.0000 999014 13.3000 999999.0000 
52681 2002 999999.0000 999999 847.0000 -26.9000 880.6000 37.5000 155.8000 864.0000 2.2000 9.5000 6.5000 47.0000 3.0000 16.7000 38 73.0000 3239.6000 999999.0000 999999.0000 14.3000 999014 18.9000 999999.0000 
52681 2004 28.5000 999013 847.6000 -22.4000 887.1000 35.7000 100.2000 864.6000 2.7000 9.3000 5.6000 42.0000 2.6000 16.8000 36 75.0000 3313.2000 999999.0000 999999.0000 14.5000 999014 24.6000 999999.0000 
52681 2005 25.1000 999013 846.5000 -21.2000 886.3000 36.1000 97.2000 863.8000 2.5000 9.0000 5.7000 41.0000 2.5000 16.3000 35 73.0000 3217.1000 999999.0000 999999.0000 14.7000 999013 18.3000 999999.0000 
52681 2006 22.9000 999014 841.9000 -22.4000 882.0000 36.8000 999999.0000 863.6000 2.6000 9.7000 6.1000 46.0000 3.3000 17.0000 999999 72.0000 3172.0000 999999.0000 999999.0000 13.5000 999013 46.9000 999999.0000 
52681 2007 24.7000 999014 844.6000 -19.6000 883.4000 35.7000 148.9000 863.8000 2.5000 9.4000 6.5000 48.0000 3.1000 16.7000 53 69.0000 3070.7000 999999.0000 999999.0000 15.5000 999014 16.9000 999999.0000 
52681 2008 21.3000 999014 846.0000 -29.5000 883.7000 37.8000 144.5000 863.9000 2.6000 8.7000 5.7000 46.0000 2.2000 16.0000 52 72.0000 3189.8000 999999.0000 999999.0000 13.7000 999014 33.2000 999999.0000 
52787 1997 999999.0000 999999 691.5000 -21.4000 713.3000 25.5000 393.8000 704.5000 4.9000 0.8000 4.1000 53.0000 -3.8000 6.6000 112 62.0000 2742.2000 999999.0000 1648.1000 22.3000 999001 42.6000 999999.0000 
