V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
YINCHUAN CHENGQU 	Total	238453	120615	117838	8915	2297	6618	3.74	1.90	5.62
YINCHUAN CHENGQU 	Shenglijie	44080	23889	20191	2106	797	1309	4.78	3.34	6.48
YINCHUAN CHENGQU 	Zhongshannanjie	18879	9684	9195	679	208	471	3.60	2.15	5.12
YINCHUAN CHENGQU 	Yuhuanggebeijie	32161	15878	16283	1163	250	913	3.62	1.57	5.61
YINCHUAN CHENGQU 	Wenhuajie	22322	10989	11333	853	176	677	3.82	1.60	5.97
YINCHUAN CHENGQU 	Jiefangxijie	36197	17948	18249	1002	150	852	2.77	0.84	4.67
YINCHUAN CHENGQU 	Qianjinjie	15094	7352	7742	435	101	334	2.88	1.37	4.31
YINCHUAN CHENGQU 	Funingjie	31504	15839	15665	1234	325	909	3.92	2.05	5.80
YINCHUAN CHENGQU 	Xinhuajie	12144	5995	6149	419	84	335	3.45	1.40	5.45
YINCHUAN CHENGQU 	Fenghuangbeijie	26072	13041	13031	1024	206	818	3.93	1.58	6.28
YINCHUAN XINCHENGQU 	Total	209469	106173	103296	10702	2628	8074	5.11	2.48	7.82
YINCHUAN XINCHENGQU 	Xinchengdongjie	23903	11942	11961	982	214	768	4.11	1.79	6.42
YINCHUAN XINCHENGQU 	Tiedongjie	17723	8896	8827	945	212	733	5.33	2.38	8.30
YINCHUAN XINCHENGQU 	Xihuayuanlu	36267	18492	17775	2245	479	1766	6.19	2.59	9.94
YINCHUAN XINCHENGQU 	Beijingxilu	25410	12495	12915	1062	238	824	4.18	1.90	6.38
YINCHUAN XINCHENGQU 	Wenchanglu	23066	12259	10807	895	204	691	3.88	1.66	6.39
YINCHUAN XINCHENGQU 	Shuofanglu	58898	29357	29541	2808	730	2078	4.77	2.49	7.03
YINCHUAN XINCHENGQU 	Ninghualu	24202	12732	11470	1765	551	1214	7.29	4.33	10.58
YINCHUAN JIAOQU 	Total	205744	109316	96428	32109	11278	20831	15.61	10.32	21.60
YINCHUAN JIAOQU 	Luhua	13151	6814	6337	2131	629	1502	16.20	9.23	23.70
YINCHUAN JIAOQU 	Liangtian	20444	10964	9480	2260	761	1499	11.05	6.94	15.81
YINCHUAN JIAOQU 	Yinxin	33787	17921	15866	4025	1351	2674	11.91	7.54	16.85
YINCHUAN JIAOQU 	Honghua	63644	34982	28662	5719	2064	3655	8.99	5.90	12.75
YINCHUAN JIAOQU 	Manchun	16771	9027	7744	2294	839	1455	13.68	9.29	18.79
YINCHUAN JIAOQU 	Daxin	17999	9124	8875	2180	712	1468	12.11	7.80	16.54
YINCHUAN JIAOQU 	Zhangzheng	8480	4346	4134	1546	553	993	18.23	12.72	24.02
YINCHUAN JIAOQU 	Yonggu	5166	2604	2562	1127	406	721	21.82	15.59	28.14
YINCHUAN JIAOQU 	Tonggui	8638	4331	4307	2433	845	1588	28.17	19.51	36.87
YINCHUAN JIAOQU 	Lucaowa	17664	9203	8461	8394	3118	5276	47.52	33.88	62.36
YONGNING 	Total	140749	71768	68981	17427	5958	11469	12.38	8.30	16.63
YONGNING 	Yanghe	17681	9021	8660	498	85	413	2.82	0.94	4.77
YONGNING 	Lijun	13215	6659	6556	925	341	584	7	5.12	8.91
YONGNING 	Wangyuan	13250	6799	6451	1084	405	679	8.18	5.96	10.53
YONGNING 	Rencun	10827	5496	5331	1048	389	659	9.68	7.08	12.36
YONGNING 	Wanghong	12816	6570	6246	1465	556	909	11.43	8.46	14.55
YONGNING 	Zenggang	12323	6185	6138	1395	472	923	11.32	7.63	15.04
YONGNING 	Yanghe	22775	11575	11200	3809	1341	2468	16.72	11.59	22.04
YONGNING 	Shengli	11341	5752	5589	1696	641	1055	14.95	11.14	18.88
YONGNING 	Tongqiao	11969	6129	5840	1117	435	682	9.33	7.10	11.68
YONGNING 	Jinsha	1405	778	627	391	123	268	27.83	15.81	42.74
YONGNING 	Huangyangtanqu	6024	3132	2892	897	278	619	14.89	8.88	21.40
