V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
WENGAN 	Yushan	1240	627	613	1104	562	542	7	6	1	0.63	1.06	0.18
WENGAN 	Tianwen	1246	644	602	1078	566	512	11	5	6	1.01	0.88	1.16
WENGAN 	Yuhua	809	432	377	654	368	286	26	15	11	3.82	3.92	3.70
WENGAN 	Yinzhan	821	438	383	725	381	344	6	4	2	0.82	1.04	0.58
WENGAN 	Songping	1187	580	607	1090	541	549	2	          	2	0.18	          	0.36
WENGAN 	Xiaoheshan	432	228	204	384	208	176	14	7	7	3.52	3.26	3.83
WENGAN 	Baisha	832	429	403	753	385	368	2	1	1	0.26	0.26	0.27
WENGAN 	Languan	827	421	406	652	344	308	31	19	12	4.54	5.23	3.75
WENGAN 	Laofenzui	617	325	292	499	272	227	9	7	2	1.77	2.51	0.87
WENGAN 	Gaoshui	934	490	444	790	411	379	9	6	3	1.13	1.44	0.79
WENGAN 	Muyincao	625	340	285	576	314	262	2	2	          	0.35	0.63	          
WENGAN 	Tongluo	883	463	420	779	417	362	10	6	4	1.27	1.42	1.09
WENGAN 	Niuchangba	540	273	267	497	254	243	5	3	2	1	1.17	0.82
WENGAN 	Yuhe	827	424	403	734	378	356	6	2	4	0.81	0.53	1.11
WENGAN 	Longtang	480	248	232	425	219	206	11	7	4	2.52	3.10	1.90
WENGAN 	Mulaoping	630	324	306	580	304	276	3	2	1	0.51	0.65	0.36
DUSHAN 	Total	21233	10881	10352	18093	9520	8573	263	159	104	1.43	1.64	1.20
DUSHAN 	Chengguan	3620	1817	1803	2506	1348	1158	166	95	71	6.21	6.58	5.78
DUSHAN 	Tuchang	889	439	450	783	397	386	3	          	3	0.38	          	0.77
DUSHAN 	Mawan	1981	1010	971	1792	926	866	10	9	1	0.55	0.96	0.12
DUSHAN 	Jichang	2491	1249	1242	2244	1134	1110	7	6	1	0.31	0.53	0.09
DUSHAN 	Shangsi	1504	789	715	1358	730	628	4	2	2	0.29	0.27	0.32
DUSHAN 	Xiasi	1260	637	623	1041	543	498	16	10	6	1.51	1.81	1.19
DUSHAN 	Jiali	791	404	387	694	357	337	5	4	1	0.72	1.11	0.30
DUSHAN 	Mawei	1472	782	690	1234	686	548	33	21	12	2.60	2.97	2.14
DUSHAN 	Yaosuo	1100	568	532	987	518	469	1	1	          	0.10	0.19	          
DUSHAN 	Yangfeng	899	476	423	806	436	370	3	2	1	0.37	0.46	0.27
DUSHAN 	Jiadingshuizu	174	96	78	159	89	70	1	1	          	0.62	1.11	          
DUSHAN 	Wengtaishuizu	186	96	90	160	82	78	          	          	          	          	          	          
DUSHAN 	Benzhaishuizu	1382	708	674	1239	639	600	3	          	3	0.24	          	0.5
DUSHAN 	Shuiyan	674	358	316	596	321	275	1	1	          	0.17	0.31	          
DUSHAN 	Dayang	841	435	406	761	401	360	          	          	          	          	          	          
DUSHAN 	Yaobang	724	370	354	640	336	304	3	1	2	0.47	0.30	0.65
DUSHAN 	Huanghou	702	369	333	617	330	287	2	2	          	0.32	0.60	          
DUSHAN 	Dongling	543	278	265	476	247	229	5	4	1	1.04	1.59	0.43
PINGTANG 	Total	18037	9341	8696	15317	8117	7200	210	137	73	1.35	1.66	1
PINGTANG 	Pinghu	1956	1025	931	1453	775	678	67	45	22	4.41	5.49	3.14
PINGTANG 	Yazhou	1247	652	595	1059	561	498	8	6	2	0.75	1.06	0.40
PINGTANG 	Tongzhou	1746	904	842	1474	801	673	23	18	5	1.54	2.20	0.74
PINGTANG 	Datang	1162	607	555	1028	549	479	7	5	2	0.68	0.90	0.42
PINGTANG 	Kedu	1231	613	618	898	466	432	73	46	27	7.52	8.98	5.88
PINGTANG 	Tangbian	1620	846	774	1359	736	623	3	3	          	0.22	0.41	          
PINGTANG 	Bairu	1007	514	493	911	473	438	1	1	          	0.11	0.21	          
PINGTANG 	Zhemi	1144	586	558	1003	527	476	6	1	5	0.59	0.19	1.04
PINGTANG 	Sizhai	712	345	367	630	316	314	4	2	2	0.63	0.63	0.63
PINGTANG 	Miaoerhe	653	335	318	570	304	266	          	          	          	          	          	          
PINGTANG 	Kapumaonanzu	812	418	394	709	372	337	3	1	2	0.42	0.27	0.59
PINGTANG 	Bailong	875	459	416	771	410	361	1	          	1	0.13	          	0.28
PINGTANG 	Ganzhai	511	264	247	462	243	219	          	          	          	          	          	          
PINGTANG 	Kaluo	571	299	272	496	268	228	4	3	1	0.80	1.11	0.44
PINGTANG 	Gudong	435	233	202	382	204	178	2	          	2	0.52	          	1.11
PINGTANG 	Shuchang	832	444	388	771	407	364	1	          	1	0.13	          	0.27
PINGTANG 	Xintang	483	256	227	419	221	198	3	2	1	0.71	0.90	0.5
