V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ZHONGYUANQU 	Total	572946	294069	278877	207122	107808	99314	365824	186261	179563	63.85	63.34	64.39
ZHONGYUANQU 													
ZHONGYUANQU 	Linshanzhai	78646	41366	37280	10430	5975	4455	68216	35391	32825	86.74	85.56	88.05
ZHONGYUANQU 													
ZHONGYUANQU 	Jianshelu	31120	15638	15482	1926	1210	716	29194	14428	14766	93.81	92.26	95.38
ZHONGYUANQU 													
ZHONGYUANQU 	Mianfanglu	37652	17125	20527	3975	1161	2814	33677	15964	17713	89.44	93.22	86.29
ZHONGYUANQU 													
ZHONGYUANQU 	Qinlinglu	26955	12747	14208	2787	1009	1778	24168	11738	12430	89.66	92.08	87.49
ZHONGYUANQU 													
ZHONGYUANQU 	Tongbailu	68436	35384	33052	18495	9749	8746	49941	25635	24306	72.97	72.45	73.54
ZHONGYUANQU 													
ZHONGYUANQU 	Sanguanmiao	47398	24279	23119	7105	4027	3078	40293	20252	20041	85.01	83.41	86.69
ZHONGYUANQU 													
ZHONGYUANQU 	Lvdongcun	55160	28022	27138	12537	6791	5746	42623	21231	21392	77.27	75.77	78.83
ZHONGYUANQU 													
ZHONGYUANQU 	Ruhelu	56501	29387	27114	9699	5780	3919	46802	23607	23195	82.83	80.33	85.55
ZHONGYUANQU 													
ZHONGYUANQU 	Xushui	66663	34330	32333	53915	27174	26741	12748	7156	5592	19.12	20.84	17.30
ZHONGYUANQU 													
ZHONGYUANQU 	Shifo	43646	23110	20536	31527	16247	15280	12119	6863	5256	27.77	29.70	25.59
ZHONGYUANQU 													
ZHONGYUANQU 	Gouzhao	41136	21529	19607	39049	20137	18912	2087	1392	695	5.07	6.47	3.54
ZHONGYUANQU 													
ZHONGYUANQU 	Dagangliu	17825	9520	8305	14853	7738	7115	2972	1782	1190	16.67	18.72	14.33
ZHONGYUANQU 													
ZHONGYUANQU 	Zhongyuan	1808	1632	176	824	810	14	984	822	162	54.42	50.37	92.05
ERQIQU 	Total	551401	286298	265103	185014	100359	84655	366387	185939	180448	66.45	64.95	68.07
ERQIQU 													
ERQIQU 	Huaihelu	67717	34181	33536	16403	8573	7830	51314	25608	25706	75.78	74.92	76.65
ERQIQU 													
ERQIQU 	Jiefanglu	3094	1577	1517	1097	596	501	1997	981	1016	64.54	62.21	66.97
ERQIQU 													
ERQIQU 	Minggonglu	19657	10397	9260	4907	3083	1824	14750	7314	7436	75.04	70.35	80.30
ERQIQU 													
ERQIQU 	Yimalu	5292	2961	2331	1971	1241	730	3321	1720	1601	62.76	58.09	68.68
ERQIQU 													
ERQIQU 	Mifengzhang	33185	17056	16129	5607	3298	2309	27578	13758	13820	83.10	80.66	85.68
ERQIQU 													
ERQIQU 	Wulibao	56909	28300	28609	6400	3703	2697	50509	24597	25912	88.75	86.92	90.57
ERQIQU 													
