V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
CHENGGUAN 	Total	66316	100	29830	44.98	31446	47.42	4876	7.35	164	0.25	          	          
CHENGGUAN 	Gongdelin	17014	100	8254	48.51	7746	45.53	983	5.78	31	0.18	          	          
CHENGGUAN 	Zhaxi	6787	100	3134	46.18	3197	47.10	442	6.51	14	0.21	          	          
CHENGGUAN 	Jibenggang	10212	100	5002	48.98	4615	45.19	585	5.73	10	0.10	          	          
CHENGGUAN 	Bakuo	5086	100	2451	48.19	2301	45.24	325	6.39	9	0.18	          	          
CHENGGUAN 	Jiri	9285	100	4004	43.12	4571	49.23	686	7.39	24	0.26	          	          
CHENGGUAN 	Chongsaikang	3888	100	1675	43.08	1940	49.90	262	6.74	11	0.28	          	          
CHENGGUAN 	Caigongtang	1752	100	446	25.46	935	53.37	362	20.66	9	0.51	          	          
CHENGGUAN 	Najin	5887	100	2218	37.68	2989	50.77	649	11.02	31	0.53	          	          
CHENGGUAN 	Niangre	4746	100	1958	41.26	2385	50.25	391	8.24	12	0.25	          	          
CHENGGUAN 	Duodi	1659	100	688	41.47	767	46.23	191	11.51	13	0.78	          	          
LINZHOU 	Total	9132	100	809	8.86	4719	51.68	3389	37.11	210	2.30	5	0.05
LINZHOU 	Ganqu	1681	100	300	17.85	884	52.59	473	28.14	24	1.43	          	          
LINZHOU 	Chundui	806	100	26	3.23	365	45.29	383	47.52	30	3.72	2	0.25
LINZHOU 	Kazi	868	100	59	6.80	456	52.53	337	38.82	16	1.84	          	          
LINZHOU 	Qiangga	891	100	51	5.72	415	46.58	388	43.55	36	4.04	1	0.11
LINZHOU 	Songpan	682	100	40	5.87	352	51.61	278	40.76	12	1.76	          	          
LINZHOU 	Jiangrexia	930	100	58	6.24	527	56.67	328	35.27	17	1.83	          	          
LINZHOU 	Bianjiaolin	979	100	71	7.25	573	58.53	319	32.58	16	1.63	          	          
LINZHOU 	Pangduo	736	100	60	8.15	354	48.10	295	40.08	26	3.53	1	0.14
LINZHOU 	Alang	765	100	94	12.29	394	51.5	260	33.99	17	2.22	          	          
LINZHOU 	Tanggu	794	100	50	6.30	399	50.25	328	41.31	16	2.02	1	0.13
