V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
XIAN XINCHENGQU 	Total	446404	228659	217745	17034	3035	13999	3.82	1.33	6.43
XIAN XINCHENGQU 	Xiyilu	17249	9097	8152	589	106	483	3.41	1.17	5.92
XIAN XINCHENGQU 	Xiwulu	26484	13019	13465	783	121	662	2.96	0.93	4.92
XIAN XINCHENGQU 	Zhongshanmen	18273	8944	9329	948	135	813	5.19	1.51	8.71
XIAN XINCHENGQU 	Dongwulu	15651	7906	7745	1011	212	799	6.46	2.68	10.32
XIAN XINCHENGQU 	Jiefangmen	11781	5806	5975	742	131	611	6.30	2.26	10.23
XIAN XINCHENGQU 	Ziqianglu	37457	19163	18294	2866	580	2286	7.65	3.03	12.5
XIAN XINCHENGQU 	Taihualu	57383	28740	28643	2816	531	2285	4.91	1.85	7.98
XIAN XINCHENGQU 	Changlexilu	41488	20738	20750	2100	361	1739	5.06	1.74	8.38
XIAN XINCHENGQU 	Hujiamiao	64855	33188	31667	1808	276	1532	2.79	0.83	4.84
XIAN XINCHENGQU 	Changlezhonglu	64482	33143	31339	1327	199	1128	2.06	0.60	3.60
XIAN XINCHENGQU 	Hansenzhai	64179	32806	31373	1397	261	1136	2.18	0.80	3.62
XIAN XINCHENGQU 	Shangdelu	14508	9665	4843	          	          	          	          	          	          
XIAN XINCHENGQU 	Xinchengqu	12614	6444	6170	647	122	525	5.13	1.89	8.51
BEILIN 	Total	609192	325243	283949	13275	2055	11220	2.18	0.63	3.95
BEILIN 	Nandajie	9428	4385	5043	237	32	205	2.51	0.73	4.07
BEILIN 	Hepinglu	18847	9440	9407	584	85	499	3.10	0.90	5.30
BEILIN 	Baishulin	29172	14956	14216	758	102	656	2.60	0.68	4.61
BEILIN 	Nanyuanmen	11287	5531	5756	354	51	303	3.14	0.92	5.26
BEILIN 	Changlefang	64845	34355	30490	2136	417	1719	3.29	1.21	5.64
BEILIN 	Dongguannanjie	58464	32026	26438	1141	166	975	1.95	0.52	3.69
BEILIN 	Taiyilu	108245	59884	48361	2314	312	2002	2.14	0.52	4.14
BEILIN 	Wenyilu	87046	47062	39984	1363	237	1126	1.57	0.5	2.82
BEILIN 	Changanlu	61545	30807	30738	1423	213	1210	2.31	0.69	3.94
BEILIN 	Zhangjiacun	122145	66559	55586	2025	277	1748	1.66	0.42	3.14
BEILIN 	Beilinqu	38168	20238	17930	940	163	777	2.46	0.81	4.33
LIANHU 	Total	533647	272491	261156	15545	2869	12676	2.91	1.05	4.85
LIANHU 	Qingnianlu	50622	25024	25598	1336	182	1154	2.64	0.73	4.51
LIANHU 	Beiyuanmen	15989	8079	7910	699	151	548	4.37	1.87	6.93
LIANHU 	Miaohoujie	25973	13554	12419	1079	240	839	4.15	1.77	6.76
LIANHU 	Xidajie	25801	12621	13180	627	75	552	2.43	0.59	4.19
LIANHU 	Beiguan	38459	19295	19164	1778	351	1427	4.62	1.82	7.45
LIANHU 	Hongmiaopo	71454	37757	33697	2317	477	1840	3.24	1.26	5.46
LIANHU 	Huanchengxilu	41250	21359	19891	1222	199	1023	2.96	0.93	5.14
LIANHU 	Xiguan	60083	30875	29208	2221	506	1715	3.70	1.64	5.87
LIANHU 	Tumen	59224	30067	29157	1413	244	1169	2.39	0.81	4.01
LIANHU 	Taoyuanlu	73447	37333	36114	1505	233	1272	2.05	0.62	3.52
LIANHU 	Zaoyuan	51977	26975	25002	858	135	723	1.65	0.5	2.89
LIANHU 	Lianhuqu	19368	9552	9816	490	76	414	2.53	0.80	4.22
BAQIAO 	Total	394967	201062	193905	11722	2434	9288	2.97	1.21	4.79
BAQIAO 	Fangzhicheng	81223	39991	41232	1829	284	1545	2.25	0.71	3.75
BAQIAO 	Shilipu	36856	20266	16590	1336	371	965	3.62	1.83	5.82
BAQIAO 	Hongqi	45815	24141	21674	1691	388	1303	3.69	1.61	6.01
BAQIAO 	Xiwang	33367	16792	16575	1560	346	1214	4.68	2.06	7.32
BAQIAO 	Hongqing	53624	27047	26577	755	130	625	1.41	0.48	2.35
BAQIAO 	Dizhai	27045	14127	12918	720	116	604	2.66	0.82	4.68
BAQIAO 	Baqiao	39138	19654	19484	1349	296	1053	3.45	1.51	5.40
BAQIAO 	Xinzhu	29681	14840	14841	994	210	784	3.35	1.42	5.28
BAQIAO 	Baling	16313	8189	8124	770	131	639	4.72	1.60	7.87
BAQIAO 	Xinhe	15993	8039	7954	179	32	147	1.12	0.40	1.85
BAQIAO 	Shuiliu	15912	7976	7936	539	130	409	3.39	1.63	5.15
WEIYANG 	Total	377622	196119	181503	9257	1730	7527	2.45	0.88	4.15
WEIYANG 	Erfuzhuang	30477	17066	13411	735	105	630	2.41	0.62	4.70
WEIYANG 	Zhangjiabao	14633	7327	7306	163	27	136	1.11	0.37	1.86
WEIYANG 	Xinjiamiao	27254	14272	12982	235	42	193	0.86	0.29	1.49
WEIYANG 	Xujiawan	35903	18743	17160	840	122	718	2.34	0.65	4.18
WEIYANG 	Daminggong	25022	12589	12433	289	59	230	1.15	0.47	1.85
WEIYANG 	Tanjia	24552	12470	12082	538	108	430	2.19	0.87	3.56
WEIYANG 	Sanqiao	81629	41642	39987	1871	297	1574	2.29	0.71	3.94
WEIYANG 	Caotan	21825	11075	10750	895	192	703	4.10	1.73	6.54
WEIYANG 	Weiyanggong	26861	13502	13359	743	162	581	2.77	1.20	4.35
WEIYANG 	Liucunbao	34469	17640	16829	1839	378	1461	5.34	2.14	8.68
WEIYANG 	Hancheng	25810	13308	12502	697	164	533	2.70	1.23	4.26
WEIYANG 	Jingjijishukaifaqu	29187	16485	12702	412	74	338	1.41	0.45	2.66
YANTA 	Total	692832	366121	326711	11078	2227	8851	1.60	0.61	2.71
YANTA 	Xiaozhailu	112592	59079	53513	980	118	862	0.87	0.20	1.61
YANTA 	Dayanta	74061	40413	33648	1145	256	889	1.55	0.63	2.64
YANTA 	Changyanbao	126569	62808	63761	1536	295	1241	1.21	0.47	1.95
YANTA 	Dianzicheng	138244	73167	65077	1979	336	1643	1.43	0.46	2.52
YANTA 	Dengjiapo	48320	26307	22013	1126	276	850	2.33	1.05	3.86
YANTA 	Yuhuazhai	51072	25715	25357	1372	245	1127	2.69	0.95	4.44
YANTA 	Zhangbagou	18195	9398	8797	748	125	623	4.11	1.33	7.08
YANTA 	Qujiang	29703	15998	13705	1398	360	1038	4.71	2.25	7.57
YANTA 	Gaoxinqu	36010	19556	16454	543	110	433	1.51	0.56	2.63
YANTA 	Xujiazhuang	33204	22241	10963	152	93	59	0.46	0.42	0.54
YANTA 	Yanta	24862	11439	13423	99	13	86	0.40	0.11	0.64
YANLIANG 	Total	182246	92397	89849	9376	1742	7634	5.14	1.89	8.5
YANLIANG 	Fenghuanglu	35912	18192	17720	1120	200	920	3.12	1.10	5.19
YANLIANG 	Xinhualu	42024	22148	19876	823	133	690	1.96	0.60	3.47
YANLIANG 	Wutun	25186	12562	12624	1726	306	1420	6.85	2.44	11.25
YANLIANG 	Kangqiao	15766	7870	7896	1407	284	1123	8.92	3.61	14.22
YANLIANG 	Guanshan	22421	11166	11255	1846	363	1483	8.23	3.25	13.18
YANLIANG 	Zhenxing	16057	7983	8074	867	143	724	5.40	1.79	8.97
YANLIANG 	Xinxing	10201	5145	5056	565	115	450	5.54	2.24	8.90
YANLIANG 	Beitun	14679	7331	7348	1022	198	824	6.96	2.70	11.21
LINTONG 	Total	469389	232001	237388	26385	5182	21203	5.62	2.23	8.93
LINTONG 	Lishan	56662	27796	28866	1553	237	1316	2.74	0.85	4.56
LINTONG 	Qinling	19927	9857	10070	863	152	711	4.33	1.54	7.06
LINTONG 	Xinfeng	29008	14645	14363	66	21	45	0.23	0.14	0.31
LINTONG 	Daiwang	25797	12921	12876	1716	285	1431	6.65	2.21	11.11
LINTONG 	Xiekou	22138	11002	11136	1536	298	1238	6.94	2.71	11.12
LINTONG 	Xingzhe	17734	8855	8879	1045	203	842	5.89	2.29	9.48
LINTONG 	Mae	14621	7180	7441	1428	285	1143	9.77	3.97	15.36
LINTONG 	Lingkou	23375	11518	11857	1829	339	1490	7.82	2.94	12.57
LINTONG 	Yujin	16137	7984	8153	1091	192	899	6.76	2.40	11.03
LINTONG 	Liyang	21282	10480	10802	1212	243	969	5.69	2.32	8.97
LINTONG 	Jiaokou	17633	8715	8918	1173	266	907	6.65	3.05	10.17
LINTONG 	Xiangqiao	14171	7041	7130	915	156	759	6.46	2.22	10.65
LINTONG 	Beitian	17283	8559	8724	1436	320	1116	8.31	3.74	12.79
LINTONG 	TianShi	12125	5990	6135	462	75	387	3.81	1.25	6.31
LINTONG 	Xiquan	16255	8096	8159	822	182	640	5.06	2.25	7.84
LINTONG 	Hanyu	12380	5288	7092	683	148	535	5.52	2.80	7.54
LINTONG 	Renzong	3528	1843	1685	513	164	349	14.54	8.90	20.71
LINTONG 	Hezhai	21038	10318	10720	736	107	629	3.5	1.04	5.87
LINTONG 	Tuqiao	2752	1402	1350	367	94	273	13.34	6.70	20.22
LINTONG 	Zhili	11546	5663	5883	948	167	781	8.21	2.95	13.28
LINTONG 	Tielu	11605	5758	5847	1108	177	931	9.55	3.07	15.92
LINTONG 	Dongyue	4545	2371	2174	445	122	323	9.79	5.15	14.86
LINTONG 	Muzhai	3183	1637	1546	196	38	158	6.16	2.32	10.22
LINTONG 	Xiaojin	5121	2631	2490	579	147	432	11.31	5.59	17.35
LINTONG 	Renliu	15319	7526	7793	1120	238	882	7.31	3.16	11.32
LINTONG 	XinShi	20556	10177	10379	1246	265	981	6.06	2.60	9.45
LINTONG 	Xuyang	16450	8235	8215	987	205	782	6	2.49	9.52
LINTONG 	Youhuai	17218	8513	8705	310	56	254	1.80	0.66	2.92
CHANGAN 	Total	649161	325167	323994	32168	7218	24950	4.96	2.22	7.70
CHANGAN 	Weiqu	69119	35016	34103	1696	274	1422	2.45	0.78	4.17
CHANGAN 	Guodu	29226	14738	14488	1368	245	1123	4.68	1.66	7.75
CHANGAN 	Mawang	22008	11005	11003	429	99	330	1.95	0.90	3
CHANGAN 	Luanzhen	16757	8539	8218	1072	262	810	6.40	3.07	9.86
CHANGAN 	Ziwu	13133	6590	6543	792	154	638	6.03	2.34	9.75
CHANGAN 	Wangqu	14857	7637	7220	843	204	639	5.67	2.67	8.85
CHANGAN 	Taiyigong	20310	9455	10855	1077	323	754	5.30	3.42	6.95
CHANGAN 	Yinzhen	11424	5589	5835	536	89	447	4.69	1.59	7.66
CHANGAN 	Duqu	16965	8459	8506	263	63	200	1.55	0.74	2.35
CHANGAN 	Doumen	24361	12058	12303	1406	307	1099	5.77	2.55	8.93
CHANGAN 	Mingdu	16278	8127	8151	1003	208	795	6.16	2.56	9.75
CHANGAN 	Xiliu	17487	8759	8728	980	183	797	5.60	2.09	9.13
CHANGAN 	Wangsi	21530	10736	10794	1093	261	832	5.08	2.43	7.71
CHANGAN 	Dongda	16690	8454	8236	94	27	67	0.56	0.32	0.81
CHANGAN 	Shendian	16361	7868	8493	618	105	513	3.78	1.33	6.04
CHANGAN 	Duling	11681	5767	5914	538	125	413	4.61	2.17	6.98
CHANGAN 	Fancun	11155	5561	5594	574	114	460	5.15	2.05	8.22
CHANGAN 	Gaoqiao	19685	9894	9791	1318	282	1036	6.70	2.85	10.58
CHANGAN 	Lingzhao	19438	9726	9712	1000	220	780	5.14	2.26	8.03
CHANGAN 	Haojing	14633	7300	7333	852	202	650	5.82	2.77	8.86
CHANGAN 	Xinglong	15700	7819	7881	685	126	559	4.36	1.61	7.09
CHANGAN 	Zhucun	13319	6629	6690	655	110	545	4.92	1.66	8.15
CHANGAN 	Fenghui	12969	6419	6550	754	149	605	5.81	2.32	9.24
CHANGAN 	Yijing	9717	4808	4909	593	124	469	6.10	2.58	9.55
CHANGAN 	Wuxing	20280	10222	10058	1199	279	920	5.91	2.73	9.15
CHANGAN 	Neiyuan	18117	9176	8941	1132	242	890	6.25	2.64	9.95
CHANGAN 	Xiangyu	5064	2602	2462	445	158	287	8.79	6.07	11.66
CHANGAN 	Weiziping	2072	1149	923	313	133	180	15.11	11.58	19.5
CHANGAN 	Huangliang	12705	6362	6343	540	103	437	4.25	1.62	6.89
CHANGAN 	Huangfu	12755	6574	6181	866	202	664	6.79	3.07	10.74
CHANGAN 	Wangzhuang	10154	5112	5042	582	145	437	5.73	2.84	8.67
CHANGAN 	Wutai	7936	4086	3850	511	145	366	6.44	3.55	9.51
CHANGAN 	Shibianyu	1406	773	633	177	73	104	12.59	9.44	16.43
CHANGAN 	Wangmang	14690	7560	7130	1003	297	706	6.83	3.93	9.90
CHANGAN 	Yangzhuang	12774	6484	6290	1047	238	809	8.20	3.67	12.86
CHANGAN 	Dayu	8902	4557	4345	900	270	630	10.11	5.92	14.5
CHANGAN 	Weizhao	8384	4193	4191	670	136	534	7.99	3.24	12.74
CHANGAN 	Liucun	5261	2559	2702	300	69	231	5.70	2.70	8.55
CHANGAN 	Kuyu	903	526	377	193	94	99	21.37	17.87	26.26
CHANGAN 	Dazhao	16976	8466	8510	460	86	374	2.71	1.02	4.39
CHANGAN 	Paoli	11501	5594	5907	496	70	426	4.31	1.25	7.21
CHANGAN 	Weizhai	9822	4888	4934	672	145	527	6.84	2.97	10.68
CHANGAN 	Maxing	10157	5092	5065	350	67	283	3.45	1.32	5.59
CHANGAN 	Jiupu	4499	2239	2260	73	10	63	1.62	0.45	2.79
LANTIAN 	Total	399005	199399	199606	28530	7091	21439	7.15	3.56	10.74
LANTIAN 	Languan	22928	11446	11482	641	88	553	2.80	0.77	4.82
LANTIAN 	Xiehu	15451	7424	8027	980	183	797	6.34	2.46	9.93
LANTIAN 	Huaxu	23799	11608	12191	1540	296	1244	6.47	2.55	10.20
LANTIAN 	Qianwei	21600	10275	11325	489	79	410	2.26	0.77	3.62
LANTIAN 	Tangyu	17156	8656	8500	1126	294	832	6.56	3.40	9.79
LANTIAN 	Jiaodai	15600	7874	7726	889	225	664	5.70	2.86	8.59
LANTIAN 	Yushan	17408	8689	8719	1692	410	1282	9.72	4.72	14.70
LANTIAN 	Dazhai	18927	9220	9707	1153	237	916	6.09	2.57	9.44
LANTIAN 	Lihou	14026	6773	7253	408	77	331	2.91	1.14	4.56
LANTIAN 	Sanlizhen	19834	9725	10109	1210	188	1022	6.10	1.93	10.11
LANTIAN 	Fengjiacun	11765	5831	5934	761	161	600	6.47	2.76	10.11
LANTIAN 	Mengcun	17265	8233	9032	720	73	647	4.17	0.89	7.16
LANTIAN 	Ancun	21957	10641	11316	1039	150	889	4.73	1.41	7.86
LANTIAN 	Shijiazhai	13554	6842	6712	761	178	583	5.61	2.60	8.69
LANTIAN 	Xiaozhai	14381	7393	6988	1782	527	1255	12.39	7.13	17.96
LANTIAN 	Puhua	21689	10699	10990	1138	222	916	5.25	2.07	8.33
LANTIAN 	Malou	14792	7441	7351	1313	323	990	8.88	4.34	13.47
LANTIAN 	Jiujianfang	9536	4890	4646	1126	341	785	11.81	6.97	16.90
LANTIAN 	Houzhen	12146	6276	5870	946	264	682	7.79	4.21	11.62
LANTIAN 	Sanguanmiao	12458	6444	6014	1038	273	765	8.33	4.24	12.72
LANTIAN 	Jinshan	9822	5093	4729	615	167	448	6.26	3.28	9.47
LANTIAN 	Bayuan	13192	7130	6062	1799	563	1236	13.64	7.90	20.39
LANTIAN 	Zhangjiaping	2836	1549	1287	562	188	374	19.82	12.14	29.06
LANTIAN 	Wangchuan	8567	4379	4188	602	163	439	7.03	3.72	10.48
LANTIAN 	Lanqiao	8754	4711	4043	942	350	592	10.76	7.43	14.64
LANTIAN 	Caoping	4787	2450	2337	478	167	311	9.99	6.82	13.31
LANTIAN 	Gepai	6943	3534	3409	1468	478	990	21.14	13.53	29.04
