V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
JIANGHUAYAOZUZIZHIXIAN 	Daxu	22829	12197	10632	516	114	402	2.26	0.93	3.78
JIANGHUAYAOZUZIZHIXIAN 	Shuikou	7092	3607	3485	319	68	251	4.5	1.89	7.20
JIANGHUAYAOZUZIZHIXIAN 	Mashi	23052	12022	11030	1543	341	1202	6.69	2.84	10.90
JIANGHUAYAOZUZIZHIXIAN 	Jiepai	12179	6421	5758	758	197	561	6.22	3.07	9.74
JIANGHUAYAOZUZIZHIXIAN 	Qiaoshi	9366	5039	4327	711	155	556	7.59	3.08	12.85
JIANGHUAYAOZUZIZHIXIAN 	Dashiqiao	14621	7918	6703	1445	351	1094	9.88	4.43	16.32
JIANGHUAYAOZUZIZHIXIAN 	Qingtang	5043	2701	2342	311	71	240	6.17	2.63	10.25
JIANGHUAYAOZUZIZHIXIAN 	Liangchahe	3681	1956	1725	401	111	290	10.89	5.67	16.81
JIANGHUAYAOZUZIZHIXIAN 	Wujiang	4137	2045	2092	239	59	180	5.78	2.89	8.60
JIANGHUAYAOZUZIZHIXIAN 	Huajiang	5321	2705	2616	494	129	365	9.28	4.77	13.95
JIANGHUAYAOZUZIZHIXIAN 	Xiangjiang	4337	2273	2064	325	72	253	7.49	3.17	12.26
JIANGHUAYAOZUZIZHIXIAN 	Beijiang	7092	3588	3504	654	137	517	9.22	3.82	14.75
JIANGHUAYAOZUZIZHIXIAN 	Weizhukou	6444	3333	3111	701	174	527	10.88	5.22	16.94
JIANGHUAYAOZUZIZHIXIAN 	Daxi	3488	1880	1608	236	48	188	6.77	2.55	11.69
HECHENG 	Total	280512	143360	137152	11123	3232	7891	3.97	2.25	5.75
HECHENG 	Chengzhong	54062	27353	26709	1156	206	950	2.14	0.75	3.56
HECHENG 	Yingfeng	55174	27144	28030	1075	314	761	1.95	1.16	2.71
HECHENG 	Hongxing	26816	14001	12815	401	77	324	1.5	0.55	2.53
HECHENG 	Chengbei	33110	16671	16439	665	102	563	2.01	0.61	3.42
HECHENG 	Tuoyuan	15343	8024	7319	244	68	176	1.59	0.85	2.40
HECHENG 	Huangjinao	9735	5043	4692	896	315	581	9.20	6.25	12.38
HECHENG 	Yazuiyan	7695	3996	3699	583	189	394	7.58	4.73	10.65
HECHENG 	Yingkou	38788	20294	18494	2176	663	1513	5.61	3.27	8.18
HECHENG 	Shimen	12901	6758	6143	891	264	627	6.91	3.91	10.21
HECHENG 	Yangcun	6499	3423	3076	508	199	309	7.82	5.81	10.05
HECHENG 	Luping	9320	4858	4462	1063	326	737	11.41	6.71	16.52
HECHENG 	Liangtingao	5726	2938	2788	696	223	473	12.16	7.59	16.97
HECHENG 	Hejiatian	3250	1740	1510	549	203	346	16.89	11.67	22.91
HECHENG 	Huangyanlvyouqu	2093	1117	976	220	83	137	10.51	7.43	14.04
ZHONGFANG 	Total	180702	94782	85920	19117	6205	12912	10.58	6.55	15.03
ZHONGFANG 	Zhongfang	18324	9552	8772	1697	575	1122	9.26	6.02	12.79
ZHONGFANG 	Pailou	13153	6929	6224	939	297	642	7.14	4.29	10.31
ZHONGFANG 	Luyang	15942	8371	7571	1132	357	775	7.10	4.26	10.24
ZHONGFANG 	Huaqiao	13569	7157	6412	1447	434	1013	10.66	6.06	15.80
ZHONGFANG 	Tongwan	13353	6931	6422	1584	523	1061	11.86	7.55	16.52
ZHONGFANG 	Tongmu	14858	7718	7140	1223	381	842	8.23	4.94	11.79
ZHONGFANG 	Tiepo	7748	4049	3699	571	157	414	7.37	3.88	11.19
ZHONGFANG 	Lutingao	4711	2498	2213	535	181	354	11.36	7.25	16
ZHONGFANG 	Xiaping	5540	2912	2628	648	237	411	11.70	8.14	15.64
ZHONGFANG 	Niejiacun	7399	3852	3547	714	206	508	9.65	5.35	14.32
ZHONGFANG 	Longchang	4772	2503	2269	667	220	447	13.98	8.79	19.70
ZHONGFANG 	Tongding	8270	4247	4023	1302	462	840	15.74	10.88	20.88
ZHONGFANG 	Xinjian	9318	4853	4465	913	318	595	9.80	6.55	13.33
ZHONGFANG 	Yuanjia	4421	2333	2088	705	267	438	15.95	11.44	20.98
ZHONGFANG 	Jiangjia	4162	2180	1982	662	218	444	15.91	10	22.40
ZHONGFANG 	Xinluhe	7425	3970	3455	1048	329	719	14.11	8.29	20.81
ZHONGFANG 	Dingjia	3449	1836	1613	496	186	310	14.38	10.13	19.22
ZHONGFANG 	Jielong	6404	3415	2989	706	195	511	11.02	5.71	17.10
ZHONGFANG 	Jinxi	3741	1991	1750	398	122	276	10.64	6.13	15.77
ZHONGFANG 	Huoshui	4279	2218	2061	371	81	290	8.67	3.65	14.07
ZHONGFANG 	Shibao	6324	3334	2990	836	255	581	13.22	7.65	19.43
