V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
CHENGGUAN 	Total	16774	8525	8249	10434	6202	4232	495	288	207	4.53	4.44	4.66
CHENGGUAN 	Gongdelin	4104	2133	1971	2646	1644	1002	143	77	66	5.13	4.47	6.18
CHENGGUAN 	Zhaxi	1719	885	834	1034	644	390	38	23	15	3.54	3.45	3.70
CHENGGUAN 	Jibenggang	2335	1147	1188	1529	871	658	62	40	22	3.90	4.39	3.24
CHENGGUAN 	Bakuo	1256	608	648	866	476	390	47	27	20	5.15	5.37	4.88
CHENGGUAN 	Jiri	2337	1149	1188	1338	782	556	77	45	32	5.44	5.44	5.44
CHENGGUAN 	Chongsaikang	893	425	468	577	330	247	30	18	12	4.94	5.17	4.63
CHENGGUAN 	Caigongtang	554	275	279	377	208	169	18	9	9	4.56	4.15	5.06
CHENGGUAN 	Najin	1671	855	816	994	573	421	30	16	14	2.93	2.72	3.22
CHENGGUAN 	Niangre	1361	706	655	762	473	289	42	28	14	5.22	5.59	4.62
CHENGGUAN 	Duodi	544	342	202	311	201	110	8	5	3	2.51	2.43	2.65
LINZHOU 	Total	3347	1580	1767	2969	1423	1546	7	5	2	0.24	0.35	0.13
LINZHOU 	Ganqu	536	246	290	461	218	243	1	1	          	0.22	0.46	          
LINZHOU 	Chundui	346	165	181	286	139	147	          	          	          	          	          	          
LINZHOU 	Kazi	329	159	170	302	147	155	          	          	          	          	          	          
LINZHOU 	Qiangga	315	144	171	271	128	143	          	          	          	          	          	          
LINZHOU 	Songpan	244	116	128	239	115	124	          	          	          	          	          	          
LINZHOU 	Jiangrexia	319	142	177	309	135	174	          	          	          	          	          	          
LINZHOU 	Bianjiaolin	330	166	164	296	152	144	5	4	1	1.66	2.56	0.69
LINZHOU 	Pangduo	258	119	139	200	98	102	          	          	          	          	          	          
LINZHOU 	Alang	306	144	162	287	134	153	          	          	          	          	          	          
LINZHOU 	Tanggu	364	179	185	318	157	161	1	          	1	0.31	          	0.62
DANGXIONG 	Total	2512	1251	1261	2078	1097	981	18	13	5	0.86	1.17	0.51
DANGXIONG 	Yangbajing	303	150	153	240	129	111	          	          	          	          	          	          
DANGXIONG 	Dangquka	297	153	144	186	115	71	13	8	5	6.53	6.5	6.58
DANGXIONG 	Geda	244	114	130	210	103	107	1	1	          	0.47	0.96	          
DANGXIONG 	Ningzhong	495	244	251	436	225	211	          	          	          	          	          	          
DANGXIONG 	Gongtang	346	165	181	296	151	145	          	          	          	          	          	          
DANGXIONG 	Longren	220	111	109	196	100	96	          	          	          	          	          	          
DANGXIONG 	Wuma	316	161	155	277	146	131	2	2	          	0.72	1.35	          
DANGXIONG 	Namuhu	291	153	138	237	128	109	2	2	          	0.84	1.54	          
NIMU 	Total	1688	812	876	1457	712	745	1	1	          	0.07	0.14	          
