V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
HUHEHAOTE XINCHENGQU 	Total	340800	173765	167035	16977	4870	12107	4.98	2.80	7.25
HUHEHAOTE XINCHENGQU 	Xijie	43299	22976	20323	1088	209	879	2.51	0.91	4.33
HUHEHAOTE XINCHENGQU 	Zhongshandonglu	19598	9423	10175	486	88	398	2.48	0.93	3.91
HUHEHAOTE XINCHENGQU 	Dongjie	30515	15080	15435	767	158	609	2.51	1.05	3.95
HUHEHAOTE XINCHENGQU 	Xilinguolebeilu	25078	12663	12415	1270	232	1038	5.06	1.83	8.36
HUHEHAOTE XINCHENGQU 	Hailaerdonglu	62780	30258	32522	1250	276	974	1.99	0.91	2.99
HUHEHAOTE XINCHENGQU 	Dongfenglu	39530	19631	19899	1142	282	860	2.89	1.44	4.32
HUHEHAOTE XINCHENGQU 	Yingxinlu	20979	10435	10544	616	147	469	2.94	1.41	4.45
HUHEHAOTE XINCHENGQU 	Haoqinying	85125	45621	39504	7982	2520	5462	9.38	5.52	13.83
HUHEHAOTE XINCHENGQU 	Baoheshao	8839	4932	3907	1342	561	781	15.18	11.37	19.99
HUHEHAOTE XINCHENGQU 	Xiaojing	5057	2746	2311	1034	397	637	20.45	14.46	27.56
HUIMIN 	Total	235613	121116	114497	12774	3507	9267	5.42	2.90	8.09
HUIMIN 	Xinhuaxilu	26094	12545	13549	1050	207	843	4.02	1.65	6.22
HUIMIN 	Zhongshanxilu	20477	10403	10074	696	176	520	3.40	1.69	5.16
HUIMIN 	Guangminglu	51005	25914	25091	1282	293	989	2.51	1.13	3.94
HUIMIN 	Hailaerxilu	35286	18076	17210	1406	304	1102	3.98	1.68	6.40
HUIMIN 	Huanhejie	22745	11299	11446	1547	414	1133	6.80	3.66	9.90
HUIMIN 	Tongdaojie	11892	6482	5410	689	268	421	5.79	4.13	7.78
HUIMIN 	Youyouban	68114	36397	31717	6104	1845	4259	8.96	5.07	13.43
YUQUAN 	Total	217994	114413	103581	15388	4659	10729	7.06	4.07	10.36
YUQUAN 	Xiaozhaoqian	20817	10943	9874	939	179	760	4.51	1.64	7.70
YUQUAN 	Xinglongxang	27253	16121	11132	1670	728	942	6.13	4.52	8.46
YUQUAN 	Changhelang	22537	11243	11294	1522	338	1184	6.75	3.01	10.48
YUQUAN 	Shiyangqiaodonglu	19075	9532	9543	547	115	432	2.87	1.21	4.53
YUQUAN 	Dananjie	15625	7592	8033	818	156	662	5.24	2.05	8.24
YUQUAN 	Xicaiyuan	80298	41907	38391	5261	1530	3731	6.55	3.65	9.72
YUQUAN 	Taohua	17883	9329	8554	3089	1055	2034	17.27	11.31	23.78
YUQUAN 	Xiaoheihe	14506	7746	6760	1542	558	984	10.63	7.20	14.56
SAIHAN 	Total	371284	189208	182076	28494	9577	18917	7.67	5.06	10.39
SAIHAN 	Renminlu	49863	25610	24253	1179	266	913	2.36	1.04	3.76
SAIHAN 	Daxuexilu	137812	67625	70187	2565	629	1936	1.86	0.93	2.76
SAIHAN 	Qiaobao	54183	27740	26443	3503	1055	2448	6.47	3.80	9.26
SAIHAN 	Yulin	15533	8278	7255	3060	1097	1963	19.70	13.25	27.06
SAIHAN 	Bayan	8940	4675	4265	1490	538	952	16.67	11.51	22.32
SAIHAN 	Huangheshao	18201	9605	8596	4418	1638	2780	24.27	17.05	32.34
SAIHAN 	Jinhe	11754	6251	5503	2098	743	1355	17.85	11.89	24.62
SAIHAN 	Taipingzhuang	18567	9848	8719	3781	1418	2363	20.36	14.40	27.10
SAIHAN 	Xibashan	48124	25161	22963	4671	1571	3100	9.71	6.24	13.5
SAIHAN 	Zhanggaiying	8307	4415	3892	1729	622	1107	20.81	14.09	28.44
TUMOTEZUO 	Total	264264	138482	125782	46310	15522	30788	17.52	11.21	24.48
TUMOTEZUO 	Chasuqi	41118	21154	19964	4025	1200	2825	9.79	5.67	14.15
TUMOTEZUO 	Bikeqi	18227	9577	8650	3247	1154	2093	17.81	12.05	24.20
TUMOTEZUO 	Shandai	14162	7446	6716	3286	998	2288	23.20	13.40	34.07
TUMOTEZUO 	Bashen	16278	8468	7810	2814	913	1901	17.29	10.78	24.34
TUMOTEZUO 	Cilao	7616	4048	3568	1581	593	988	20.76	14.65	27.69
TUMOTEZUO 	Bingzhouhai	10543	5621	4922	1583	610	973	15.01	10.85	19.77
TUMOTEZUO 	Taigemu	18577	9828	8749	2258	832	1426	12.15	8.47	16.30
TUMOTEZUO 	Baimiaozi	14606	7669	6937	2354	825	1529	16.12	10.76	22.04
TUMOTEZUO 	Shaerying	14620	7626	6994	2617	872	1745	17.90	11.43	24.95
TUMOTEZUO 	Shaerqin	13431	7109	6322	1983	672	1311	14.76	9.45	20.74
TUMOTEZUO 	Beishenzhou	12206	6530	5676	1766	629	1137	14.47	9.63	20.03
TUMOTEZUO 	Tiemao	9165	4899	4266	1700	608	1092	18.55	12.41	25.60
