V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
NANGUAN 	Total	573265	291401	281864	123309	64200	59109	449956	227201	222755	78.49	77.97	79.03
NANGUAN 	Nanling	87662	46276	41386	4557	2404	2153	83105	43872	39233	94.80	94.81	94.80
NANGUAN 	Ziqiang	38874	18851	20023	739	381	358	38135	18470	19665	98.10	97.98	98.21
NANGUAN 	Minkang	32239	15869	16370	666	308	358	31573	15561	16012	97.93	98.06	97.81
NANGUAN 	Xinchun	42404	21188	21216	2605	1578	1027	39799	19610	20189	93.86	92.55	95.16
NANGUAN 	Changtong	41742	22677	19065	4322	2213	2109	37420	20464	16956	89.65	90.24	88.94
NANGUAN 	Quanan	49524	24523	25001	2039	1145	894	47485	23378	24107	95.88	95.33	96.42
NANGUAN 	Shuguang	51050	24843	26207	1742	876	866	49308	23967	25341	96.59	96.47	96.70
NANGUAN 	Yongji	44441	22064	22377	2729	1474	1255	41712	20590	21122	93.86	93.32	94.39
NANGUAN 	Taoyuan	29639	14638	15001	1145	611	534	28494	14027	14467	96.14	95.83	96.44
NANGUAN 	Yongxing	27771	15338	12433	5896	3471	2425	21875	11867	10008	78.77	77.37	80.5
NANGUAN 	Xinlicheng	20689	10529	10160	16618	8397	8221	4071	2132	1939	19.68	20.25	19.08
NANGUAN 	Danan	19807	10124	9683	17903	9127	8776	1904	997	907	9.61	9.85	9.37
NANGUAN 	Yutan	14103	7335	6768	12469	6459	6010	1634	876	758	11.59	11.94	11.20
NANGUAN 	Jingyue	26201	13580	12621	19540	10075	9465	6661	3505	3156	25.42	25.81	25.01
NANGUAN 	Xingfu	47119	23566	23553	30339	15681	14658	16780	7885	8895	35.61	33.46	37.77
KUANCHENG 	Total	476218	247971	228247	138598	75126	63472	337620	172845	164775	70.90	69.70	72.19
KUANCHENG 	Xinfa	33610	16212	17398	2040	1084	956	31570	15128	16442	93.93	93.31	94.51
KUANCHENG 	Zhanqian	62652	37844	24808	7720	6687	1033	54932	31157	23775	87.68	82.33	95.84
KUANCHENG 	Nanguang	24011	12148	11863	2693	1701	992	21318	10447	10871	88.78	86	91.64
KUANCHENG 	Dongguang	13588	6807	6781	1678	892	786	11910	5915	5995	87.65	86.90	88.41
KUANCHENG 	Qunying	41178	21305	19873	5225	2988	2237	35953	18317	17636	87.31	85.98	88.74
KUANCHENG 	Xingye	52427	26311	26116	5737	2982	2755	46690	23329	23361	89.06	88.67	89.45
KUANCHENG 	Kaixuan	42808	21371	21437	3434	2014	1420	39374	19357	20017	91.98	90.58	93.38
KUANCHENG 	Tuanshan	25700	13170	12530	6982	3594	3388	18718	9576	9142	72.83	72.71	72.96
KUANCHENG 	Liuying	53141	27041	26100	12761	6637	6124	40380	20404	19976	75.99	75.46	76.54
KUANCHENG 	Xinglongshan	56943	29234	27709	34374	17558	16816	22569	11676	10893	39.63	39.94	39.31
KUANCHENG 	Lanjia	21932	11472	10460	20153	10486	9667	1779	986	793	8.11	8.59	7.58
KUANCHENG 	Fenjin	48228	25056	23172	35801	18503	17298	12427	6553	5874	25.77	26.15	25.35
CHAOYANG 	Total	706377	360086	346291	110475	59716	50759	595902	300370	295532	84.36	83.42	85.34
CHAOYANG 	Nanzhan	42132	22106	20026	5241	3220	2021	36891	18886	18005	87.56	85.43	89.91
CHAOYANG 	Guilin	73972	36086	37886	3400	1907	1493	70572	34179	36393	95.40	94.72	96.06
CHAOYANG 	Nanhu	75979	39371	36608	1809	885	924	74170	38486	35684	97.62	97.75	97.48
CHAOYANG 	Yongchang	61481	30538	30943	1510	751	759	59971	29787	30184	97.54	97.54	97.55
CHAOYANG 	Chongqing	46092	23256	22836	2747	1690	1057	43345	21566	21779	94.04	92.73	95.37
CHAOYANG 	Qinghe	79717	40428	39289	3326	1879	1447	76391	38549	37842	95.83	95.35	96.32
CHAOYANG 	Hongqi	99975	50512	49463	4168	2862	1306	95807	47650	48157	95.83	94.33	97.36
CHAOYANG 	Huxi	100579	53227	47352	5341	3472	1869	95238	49755	45483	94.69	93.48	96.05
CHAOYANG 	Datun	39027	19930	19097	26032	13203	12829	12995	6727	6268	33.30	33.75	32.82
CHAOYANG 	Leshan	25289	12990	12299	23022	11788	11234	2267	1202	1065	8.96	9.25	8.66
CHAOYANG 	Yongchun	16656	8619	8037	15306	7856	7450	1350	763	587	8.11	8.85	7.30
CHAOYANG 	Shuangde	45478	23023	22455	18573	10203	8370	26905	12820	14085	59.16	55.68	62.73
ERDAO 	Total	474376	241141	233235	153658	80656	73002	320718	160485	160233	67.61	66.55	68.70
ERDAO 	Dongsheng	55468	27881	27587	5323	2900	2423	50145	24981	25164	90.40	89.60	91.22
ERDAO 	Jilin	40957	20350	20607	2720	1481	1239	38237	18869	19368	93.36	92.72	93.99
ERDAO 	Rongguang	64467	32212	32255	5238	2670	2568	59229	29542	29687	91.87	91.71	92.04
ERDAO 	Dongzhan	43340	21728	21612	2597	1477	1120	40743	20251	20492	94.01	93.20	94.82
ERDAO 	Yuanda	26021	13389	12632	5465	3075	2390	20556	10314	10242	79	77.03	81.08
