V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
59293 2000 19.0000 999011 982.6000 2.7000 1029.5000 37.6000 1953.6000 1008.0000 1.7000 22.2000 20.7000 74.0000 18.7000 26.9000 141 43.0000 1912.5000 1045.0000 1683.6000 10.7000 999011 133.6000 999999.0000 
59293 2001 14.2000 999011 974.8000 2.9000 1027.7000 38.0000 2306.9000 1008.0000 1.4000 22.3000 21.1000 74.0000 18.8000 27.2000 153 43.0000 1885.7000 1013.3000 1622.1000 7.3000 999001 95.6000 999999.0000 
59293 2002 16.3000 999007 986.5000 2.4000 1027.5000 37.4000 1681.4000 1008.6000 1.4000 22.7000 21.4000 74.0000 19.3000 27.5000 153 41.0000 1832.4000 1038.6000 999999.0000 8.0000 999007 111.4000 999999.0000 
59293 2004 21.3000 999005 987.7000 3.0000 1029.0000 39.0000 1347.7000 1009.1000 1.3000 22.3000 19.9000 70.0000 18.5000 27.5000 126 42.0000 1845.1000 1023.1000 999999.0000 7.8000 999013 92.4000 999999.0000 
59293 2005 15.7000 999015 989.9000 1.2000 1030.6000 38.9000 2044.4000 1009.0000 1.4000 22.2000 19.6000 68.0000 19.1000 26.7000 141 28.0000 1228.9000 957.7000 999999.0000 6.7000 999004 255.4000 999999.0000 
59293 2006 20.5000 999016 981.7000 1.9000 1023.7000 38.7000 2233.2000 1005.1000 2.3000 21.9000 19.7000 72.0000 18.4000 26.9000 145 40.0000 1765.2000 1255.5000 999999.0000 13.1000 999001 119.7000 999999.0000 
59293 2007 25.4000 999003 983.9000 1.4000 1023.7000 37.0000 1798.5000 1005.1000 2.4000 21.7000 19.0000 70.0000 18.2000 26.8000 128 42.0000 1839.3000 1319.2000 999999.0000 16.1000 999002 114.5000 999999.0000 
59293 2008 20.8000 999002 986.8000 1.7000 1022.9000 37.4000 2099.7000 1005.4000 2.4000 21.0000 19.6000 72.0000 17.5000 26.1000 141 40.0000 1787.3000 1262.6000 999999.0000 12.8000 999002 263.4000 999999.0000 
59316 1997 21.0000 999008 991.3000 6.4000 1029.3000 36.0000 2040.9000 1013.6000 2.3000 22.1000 21.9000 78.0000 19.4000 25.8000 143 45.0000 1985.8000 1051.9000 1678.9000 9.5000 999013 149.6000 999999.0000 
59316 1998 19.5000 999003 998.0000 7.5000 1032.0000 36.4000 1593.6000 1012.9000 2.4000 23.0000 23.1000 79.0000 20.4000 26.6000 141 43.0000 1917.5000 1057.8000 1693.8000 9.9000 999982 103.3000 999999.0000 
59316 1999 29.5000 999003 986.6000 1.2000 1032.5000 35.6000 1517.4000 1012.1000 2.7000 22.6000 22.0000 76.0000 19.6000 26.4000 114 51.0000 2237.0000 1239.5000 1932.7000 13.4000 999004 138.8000 999999.0000 
59316 2000 19.4000 999008 992.7000 5.5000 1031.0000 36.9000 1486.7000 1012.0000 2.5000 22.5000 21.8000 77.0000 19.5000 26.3000 115 48.0000 2126.3000 1197.8000 1990.2000 9.2000 999010 79.9000 999999.0000 
59316 2001 31.0000 999007 980.4000 4.9000 1030.7000 36.6000 1947.9000 1011.9000 2.4000 22.7000 22.0000 76.0000 19.5000 26.7000 126 50.0000 2199.8000 1194.9000 1966.3000 12.5000 999003 113.3000 999999.0000 
59316 2002 24.4000 999006 990.0000 6.2000 1030.3000 38.3000 1409.7000 1012.4000 2.5000 23.0000 22.6000 77.0000 20.1000 27.0000 113 51.0000 2266.6000 1211.6000 999999.0000 9.8000 999010 118.2000 999999.0000 
59316 2004 18.6000 999003 988.7000 4.2000 1030.2000 38.4000 1156.3000 1012.8000 2.3000 22.6000 21.3000 74.0000 19.4000 26.5000 93 55.0000 2433.5000 1385.0000 999999.0000 8.5000 999003 113.8000 999999.0000 
59316 2005 15.6000 999011 986.4000 2.4000 1033.6000 37.6000 1631.3000 1013.3000 2.0000 22.3000 20.3000 72.0000 19.5000 25.9000 128 42.0000 1849.5000 1286.5000 999999.0000 8.4000 999011 128.3000 999999.0000 
59316 2006 25.2000 999014 978.2000 5.5000 1031.8000 38.3000 2507.7000 1012.8000 1.9000 22.8000 22.1000 76.0000 20.2000 26.5000 140 42.0000 1843.5000 1264.2000 999999.0000 14.7000 999014 215.8000 999999.0000 
59316 2007 14.8000 999014 993.8000 6.9000 1029.9000 36.2000 1482.2000 1012.6000 1.9000 22.9000 21.2000 73.0000 20.2000 26.6000 111 44.0000 1961.2000 1299.3000 999999.0000 7.3000 999012 100.9000 999999.0000 
59316 2008 16.9000 999014 992.1000 5.7000 1028.1000 38.8000 2123.6000 1013.0000 1.9000 22.3000 21.2000 74.0000 19.5000 26.1000 123 42.0000 1852.1000 1314.3000 999999.0000 8.4000 999014 232.8000 999999.0000 
59501 1997 25.8000 999010 990.3000 7.6000 1027.9000 34.2000 2825.4000 1012.7000 2.6000 22.4000 22.6000 79.0000 19.9000 25.9000 150 40.0000 1760.0000 1106.5000 1679.9000 17.0000 999982 174.6000 999999.0000 
59501 1998 26.0000 999001 997.3000 7.0000 1030.8000 34.7000 1520.2000 1012.1000 2.7000 23.2000 23.7000 80.0000 20.4000 26.8000 128 44.0000 1936.8000 1121.5000 1708.2000 12.8000 999001 101.2000 999999.0000 
59501 1999 41.6000 999001 975.2000 2.9000 1032.1000 34.8000 1700.2000 1011.4000 2.8000 22.9000 22.4000 75.0000 19.8000 26.9000 112 49.0000 2155.6000 1287.9000 2002.2000 19.1000 999002 155.7000 999999.0000 
59501 2000 34.5000 999004 983.0000 5.4000 1030.5000 34.6000 1983.9000 1011.7000 2.7000 22.7000 22.2000 77.0000 20.1000 26.3000 119 50.0000 2200.5000 1265.1000 1866.9000 15.4000 999006 128.8000 999999.0000 
59501 2001 21.9000 999003 973.1000 5.9000 1030.7000 35.1000 2419.3000 1011.9000 2.5000 22.9000 22.5000 77.0000 20.0000 26.7000 109 49.0000 2144.0000 1172.0000 1818.4000 13.2000 999001 268.3000 999999.0000 
59501 2002 19.6000 999007 982.0000 5.4000 1029.7000 35.2000 1704.5000 1012.3000 2.7000 23.2000 23.1000 78.0000 20.4000 26.7000 105 55.0000 2432.9000 1295.4000 999999.0000 11.7000 999015 158.9000 999999.0000 
59501 2004 16.9000 999002 989.8000 5.8000 1029.3000 35.1000 1447.1000 1011.6000 2.5000 22.7000 22.0000 75.0000 19.8000 26.5000 99 50.0000 2206.5000 1318.5000 999999.0000 9.9000 999001 212.0000 999999.0000 
59501 2005 23.0000 999015 993.1000 3.0000 1032.1000 38.0000 2093.3000 1011.5000 2.3000 22.4000 21.7000 75.0000 19.9000 25.8000 117 43.0000 1902.5000 1247.6000 999999.0000 11.0000 999012 195.0000 999999.0000 
59501 2006 28.8000 999016 988.8000 5.6000 1028.8000 36.3000 2649.0000 1011.2000 2.3000 22.9000 22.5000 77.0000 20.5000 26.4000 139 40.0000 1777.8000 1140.5000 999999.0000 16.1000 999016 254.7000 999999.0000 
59501 2007 22.8000 999016 991.2000 7.2000 1028.6000 34.4000 1873.4000 1010.9000 2.3000 23.0000 22.2000 75.0000 20.4000 26.7000 112 46.0000 2054.6000 1233.3000 999999.0000 12.1000 999015 115.7000 999999.0000 
