V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
50434 1997 999999.0000 999999 903.0000 -45.3000 951.3000 33.9000 515.4000 927.8000 2.0000 -3.9000 5.3000 70.0000 -12.2000 4.6000 129 55.0000 2450.5000 999999.0000 1031.1000 10.0000 999985 72.1000 999999.0000 
50434 1998 999999.0000 999999 894.1000 -45.6000 953.0000 29.8000 444.1000 927.1000 2.2000 -3.3000 5.9000 72.0000 -10.8000 5.0000 126 52.0000 2319.6000 999999.0000 980.8000 16.0000 999013 35.7000 999999.0000 
50434 1999 999999.0000 999999 903.9000 -43.3000 946.7000 32.1000 424.8000 927.0000 2.2000 -4.3000 5.3000 70.0000 -12.7000 4.0000 122 57.0000 2546.4000 999999.0000 1041.3000 12.3000 999013 30.5000 999999.0000 
50434 2000 999999.0000 999999 904.6000 -45.1000 948.9000 31.9000 337.4000 927.2000 2.0000 -4.5000 5.5000 71.0000 -13.2000 4.4000 119 58.0000 2598.7000 999999.0000 1103.7000 14.0000 999014 25.8000 999999.0000 
50434 2001 999999.0000 999999 902.5000 -49.6000 948.9000 34.2000 366.0000 927.1000 2.2000 -4.6000 5.4000 70.0000 -12.8000 4.7000 106 59.0000 2608.2000 999999.0000 1064.8000 12.0000 999982 27.0000 999999.0000 
50434 2002 999999.0000 999999 902.8000 -43.0000 946.1000 33.7000 291.3000 927.9000 2.1000 -3.4000 5.5000 71.0000 -11.8000 5.7000 115 57.0000 2552.7000 999999.0000 999999.0000 12.0000 999007 22.1000 999999.0000 
50434 2004 999999.0000 999999 894.8000 -45.6000 947.4000 35.9000 346.3000 926.8000 1.8000 -3.8000 5.3000 69.0000 -12.4000 5.2000 127 62.0000 2764.3000 999999.0000 999999.0000 10.0000 999982 25.2000 999999.0000 
50434 2005 16.4000 999012 900.0000 -41.2000 949.8000 33.5000 386.4000 926.6000 2.3000 -4.0000 5.4000 67.0000 -12.2000 4.8000 125 58.0000 2568.2000 999999.0000 999999.0000 10.3000 999012 24.4000 999999.0000 
50434 2006 20.9000 999006 895.9000 -46.3000 945.7000 30.8000 411.2000 926.5000 2.2000 -4.5000 5.0000 66.0000 -13.0000 4.4000 135 58.0000 2598.7000 999999.0000 999999.0000 12.1000 999011 36.0000 999999.0000 
50434 2007 16.9000 999014 902.8000 -41.1000 944.4000 33.9000 284.3000 927.0000 2.1000 -2.9000 5.2000 66.0000 -12.0000 6.5000 102 61.0000 2733.3000 999999.0000 999999.0000 10.3000 999013 27.0000 999999.0000 
50434 2008 18.2000 999005 907.8000 -46.4000 952.0000 33.1000 376.5000 926.6000 2.2000 -3.3000 5.5000 68.0000 -11.6000 5.6000 140 53.0000 2382.8000 999999.0000 999999.0000 12.1000 999005 32.0000 999999.0000 
50527 1997 999999.0000 999999 914.5000 -37.4000 967.9000 36.5000 369.1000 941.9000 3.2000 -0.1000 6.0000 67.0000 -6.0000 6.1000 97 61.0000 2714.6000 999999.0000 1153.7000 17.0000 999014 31.3000 999999.0000 
50527 1998 999999.0000 999999 909.0000 -38.2000 965.2000 31.2000 498.6000 941.7000 3.2000 0.7000 6.6000 69.0000 -4.8000 6.7000 106 56.0000 2482.3000 999999.0000 1153.0000 20.0000 999014 40.4000 999999.0000 
50527 1999 999999.0000 999999 917.1000 -38.7000 963.8000 36.0000 276.4000 941.8000 3.3000 -0.5000 6.0000 68.0000 -6.1000 5.6000 106 56.0000 2479.3000 999999.0000 1156.7000 18.7000 999014 20.8000 999999.0000 
50527 2000 999999.0000 999999 920.5000 -37.2000 968.0000 33.5000 420.6000 941.7000 2.8000 -0.9000 6.7000 71.0000 -6.5000 5.2000 103 56.0000 2506.6000 999999.0000 1127.6000 14.0000 999012 54.3000 999999.0000 
50527 2001 999999.0000 999999 912.1000 -42.9000 965.3000 38.2000 246.0000 941.4000 3.2000 0.1000 6.0000 64.0000 -5.8000 6.9000 95 57.0000 2542.4000 999999.0000 1263.8000 15.0000 999014 29.7000 999999.0000 
50527 2002 999999.0000 999999 914.7000 -38.4000 964.0000 33.7000 351.9000 942.3000 2.7000 0.5000 6.2000 68.0000 -5.0000 6.7000 103 54.0000 2412.3000 999999.0000 999999.0000 17.0000 999012 19.2000 999999.0000 
50527 2004 999999.0000 999999 911.3000 -37.4000 967.1000 39.5000 354.1000 942.2000 3.1000 0.5000 5.7000 64.0000 -4.9000 6.4000 97 57.0000 2555.8000 999999.0000 999999.0000 17.3000 999012 85.5000 999999.0000 
50527 2005 17.8000 999013 914.0000 -34.2000 965.4000 37.0000 311.6000 941.6000 2.1000 -0.3000 5.8000 62.0000 -5.7000 5.8000 100 54.0000 2389.1000 999999.0000 999999.0000 10.4000 999012 29.2000 999999.0000 
50527 2006 21.5000 999012 912.5000 -38.1000 964.4000 33.9000 249.0000 941.4000 2.3000 -0.5000 5.0000 58.0000 -6.1000 5.7000 105 53.0000 2377.1000 999999.0000 999999.0000 12.0000 999013 23.0000 999999.0000 
50527 2007 27.9000 999012 917.1000 -36.2000 959.9000 38.8000 232.5000 941.7000 2.2000 1.3000 5.2000 58.0000 -4.5000 7.5000 79 52.0000 2330.1000 999999.0000 999999.0000 11.3000 999012 26.6000 999999.0000 
