V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
54527 1997 999999.0000 999999 995.8000 -16.3000 1046.3000 39.3000 378.1000 1016.9000 2.2000 12.9000 11.6000 65.0000 8.1000 18.6000 53 59.0000 2612.6000 999999.0000 1691.8000 14.0000 999016 57.7000 999999.0000 
54527 1998 999999.0000 999999 993.0000 -15.0000 1042.1000 37.4000 500.6000 1016.1000 1.9000 13.4000 13.0000 68.0000 8.9000 19.1000 66 50.0000 2206.9000 999999.0000 1453.1000 15.3000 999016 85.6000 999999.0000 
54527 1999 999999.0000 999999 995.6000 -11.3000 1042.0000 38.5000 390.7000 1016.2000 2.4000 13.2000 12.5000 66.0000 8.7000 18.9000 52 52.0000 2323.3000 999999.0000 1613.9000 13.3000 999015 54.6000 999999.0000 
54527 2000 999999.0000 999999 994.4000 -14.7000 1048.4000 40.5000 458.8000 1016.5000 2.1000 12.9000 12.0000 65.0000 8.3000 18.5000 56 51.0000 2247.7000 999999.0000 1658.6000 15.0000 999014 93.8000 999999.0000 
54527 2001 999999.0000 999999 993.1000 -16.2000 1041.2000 38.4000 502.9000 1016.7000 2.1000 13.1000 11.9000 62.0000 8.8000 18.6000 62 47.0000 2100.7000 999999.0000 1663.9000 14.3000 999014 85.3000 999999.0000 
54527 2002 999999.0000 999999 992.0000 -11.6000 1042.5000 39.2000 383.1000 1016.7000 2.2000 13.3000 11.8000 64.0000 8.8000 18.9000 56 48.0000 2128.5000 999999.0000 999999.0000 16.0000 999016 48.2000 999999.0000 
54527 2004 22.2000 999001 987.8000 -13.0000 1044.9000 38.3000 490.5000 1016.4000 2.5000 13.2000 11.0000 59.0000 8.7000 18.9000 56 48.0000 2126.1000 999999.0000 999999.0000 14.2000 999016 53.0000 999999.0000 
54527 2005 20.4000 999015 990.8000 -14.2000 1040.5000 39.5000 618.5000 1016.5000 2.5000 12.9000 11.1000 57.0000 8.1000 18.6000 61 53.0000 2348.2000 999999.0000 999999.0000 14.3000 999016 125.4000 999999.0000 
54527 2006 21.0000 999015 988.0000 -14.2000 1047.9000 36.9000 415.2000 1016.2000 2.5000 13.2000 11.5000 61.0000 8.8000 18.6000 54 48.0000 2130.0000 999999.0000 999999.0000 15.0000 999001 71.5000 999999.0000 
54527 2007 22.4000 999016 993.2000 -10.6000 1040.0000 38.5000 389.7000 1016.4000 2.5000 13.6000 11.5000 61.0000 9.2000 19.1000 63 49.0000 2165.4000 999999.0000 999999.0000 17.0000 999016 56.2000 999999.0000 
54527 2008 19.7000 999001 992.1000 -16.2000 1046.0000 36.0000 552.1000 1016.8000 2.6000 13.3000 11.3000 56.0000 8.8000 18.8000 63 54.0000 2415.4000 999999.0000 999999.0000 13.3000 999014 58.0000 999999.0000 
