V01301 V04001 V11046 V11211_CHAR V10302 V12012 V10301 V12011 V13305 V10004_701 V11291_701 V12001_701 V13004_701 V13003_701 V12012_701 V12011_701 V13353 V14033 V14032 V13033 V13032 V11042 V11296_CHAR V13052 V13007
58102 1997 21.0000 999008 992.3000 -11.1000 1039.0000 38.5000 783.6000 1012.1000 2.9000 15.3000 13.8000 69.0000 10.4000 21.1000 70 54.0000 2372.7000 999999.0000 1661.3000 11.8000 999016 285.3000 999999.0000 
58102 1998 20.6000 999001 990.0000 -11.5000 1036.4000 36.9000 1101.4000 1011.5000 3.0000 15.9000 15.4000 74.0000 11.6000 21.0000 90 48.0000 2131.7000 841.9000 1479.8000 12.2000 999001 137.3000 999999.0000 
58102 1999 20.6000 999015 992.8000 -10.5000 1038.1000 37.7000 577.4000 1011.6000 2.8000 15.8000 14.3000 68.0000 11.3000 21.3000 68 51.0000 2250.3000 951.5000 1590.7000 11.7000 999015 166.1000 999999.0000 
58102 2000 22.9000 999014 991.4000 -8.8000 1042.3000 37.0000 1164.6000 1011.1000 2.9000 15.5000 14.3000 70.0000 11.6000 20.4000 102 44.0000 1933.4000 999999.0000 1558.7000 12.3000 999001 165.0000 999999.0000 
58102 2001 21.9000 999011 992.0000 -8.1000 1038.3000 39.4000 804.1000 1011.5000 2.5000 15.3000 13.5000 69.0000 11.2000 20.4000 80 46.0000 2032.2000 964.8000 1654.4000 12.4000 999011 112.3000 999999.0000 
58102 2002 20.2000 999014 990.4000 -10.0000 1037.7000 40.3000 613.5000 1011.0000 2.5000 16.0000 14.7000 71.0000 11.7000 21.4000 72 45.0000 2008.2000 995.8000 999999.0000 12.0000 999001 56.3000 999999.0000 
58102 2004 19.5000 999012 989.6000 -9.8000 1036.2000 37.9000 862.9000 1011.7000 2.4000 16.0000 14.3000 68.0000 11.8000 21.4000 73 50.0000 2236.4000 965.7000 999999.0000 10.4000 999013 88.7000 999999.0000 
58102 2005 20.4000 999015 986.0000 -9.5000 1036.9000 40.0000 791.0000 1012.0000 2.3000 15.4000 14.2000 68.0000 11.4000 20.5000 94 46.0000 2023.5000 898.9000 999999.0000 10.1000 999001 62.8000 999999.0000 
58102 2006 21.0000 999011 987.1000 -6.2000 1040.4000 39.9000 815.4000 1011.3000 2.3000 16.3000 14.3000 67.0000 12.3000 21.3000 75 43.0000 1898.0000 925.1000 999999.0000 12.0000 999011 84.5000 999999.0000 
58102 2007 19.4000 999015 989.2000 -5.8000 1033.2000 38.2000 971.5000 1011.3000 2.2000 16.3000 14.0000 66.0000 12.4000 21.3000 84 39.0000 1722.1000 873.4000 999999.0000 10.8000 999002 134.9000 999999.0000 
