Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2011;2011;USD;447.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2012;2012;USD;443.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2013;2013;USD;427.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2014;2014;USD;424;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2015;2015;USD;440.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2016;2016;USD;479.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1991;1991;USD;177.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1992;1992;USD;237.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1993;1993;USD;291.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1994;1994;USD;241.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1995;1995;USD;291.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1996;1996;USD;314;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1997;1997;USD;229;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1998;1998;USD;431.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;1999;1999;USD;576.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2000;2000;USD;564.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2001;2001;USD;489.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2002;2002;USD;398.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2003;2003;USD;425.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2004;2004;USD;374.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2005;2005;USD;466.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2006;2006;USD;658.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2007;2007;USD;652.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2008;2008;USD;758.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2009;2009;USD;784.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2011;2011;USD;2020.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2012;2012;USD;1164.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2013;2013;USD;820.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2014;2014;USD;1112.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);560;Grapes;2015;2015;USD;979;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1992;1992;USD;1975.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1993;1993;USD;2281.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1994;1994;USD;1213.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1995;1995;USD;1146.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1996;1996;USD;2629.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1997;1997;USD;2315.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1998;1998;USD;2329.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;1999;1999;USD;1693.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2000;2000;USD;1573.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2001;2001;USD;1231.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2002;2002;USD;1738.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2003;2003;USD;1722.1;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2004;2004;USD;1706;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2005;2005;USD;1707;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2006;2006;USD;1737.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2007;2007;USD;1803.7;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2008;2008;USD;1954.5;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2009;2009;USD;1969.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2011;2011;USD;1229.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2012;2012;USD;908.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2013;2013;USD;992.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2014;2014;USD;1060.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2015;2015;USD;970.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2016;2016;USD;1084.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1991;1991;USD;149.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1992;1992;USD;152.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1993;1993;USD;206;;Official data
